INDEX,TARGET_FLAG,TARGET_AMT,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,SEX,EDUCATION,JOB,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,URBANICITY,YOJ_Missing,Income_Missing,HOME_Val_Missing,CAR_AGE_Missing,AGE_Missing
42,0,0,0,39,0,10,35081.4222,No,202839.4863,Yes,M,Bachelors,z_Blue Collar,37.82723225,Commercial,16640,4,Van,yes,0,0,No,0,13,Highly Urban/ Urban,0,0,0,0,0
43,0,0,0,56,0,0,0,No,63826.52723,Yes,z_F,PhD,Home Maker,64.99909878,Private,13220,1,Minivan,no,0,0,No,0,12,z_Highly Rural/ Rural,0,0,0,0,0
44,0,0,0,49,0,12,115044.3555,No,311980.123,z_No,z_F,PhD,Doctor,17.73508239,Private,17900,1,Minivan,no,0,0,No,0,14,Highly Urban/ Urban,0,0,0,0,0
45,0,0,0,38,0,11,37753.57313,No,138822.8511,Yes,z_F,z_High School,Clerical,46.68134109,Private,12080,1,z_SUV,no,0,0,No,2,9,z_Highly Rural/ Rural,0,0,0,0,0
46,0,0,0,43,2,17,145352.9518,No,418785.2319,Yes,z_F,Masters, ,37.86751152,Commercial,29450,6,Van,no,0,0,No,0,15,Highly Urban/ Urban,0,0,0,0,0
48,0,0,0,63,0,15,121398.2642,No,343409.954,Yes,z_F,PhD,Doctor,10.14058187,Private,16270,1,z_SUV,no,0,0,No,0,11,Highly Urban/ Urban,0,0,0,0,0
49,0,0,0,52,0,0,0,No,87925.39124,z_No,z_F,z_High School,Student,48.0740963,Commercial,9280,1,z_SUV,no,0,0,No,1,6,z_Highly Rural/ Rural,0,0,0,0,0
50,0,0,0,35,0,7,14508.13637,No,0,Yes,M,Bachelors,Student,22.04226929,Commercial,6450,1,Pickup,no,0,0,No,0,7,Highly Urban/ Urban,0,0,0,0,0
51,0,0,0,43,0,13,75337.94059,No,270555.3347,Yes,z_F,Bachelors,Manager,40.23202125,Private,23080,1,Sports Car,no,0,0,No,0,8,Highly Urban/ Urban,0,0,0,0,0
52,0,0,0,41,0,10,32773.64307,No,0,z_No,z_F,z_High School,Clerical,43.77669787,Private,20120,4,Minivan,no,0,0,No,0,1,z_Highly Rural/ Rural,0,0,0,0,0
53,0,0,0,40,0,11,57474.08872,No,186417.7395,Yes,M,Bachelors,Clerical,5,Commercial,29270,4,Panel Truck,yes,0,0,No,1,5,Highly Urban/ Urban,0,0,0,0,0
54,0,0,0,31,1,12,26519.97586,No,154493.4031,Yes,M,Bachelors,Student,62.25635134,Commercial,4600,6,Minivan,yes,0,0,No,2,5,Highly Urban/ Urban,0,0,0,0,0
55,0,0,0,47,0,8,18444.16332,No,0,Yes,z_F,z_High School,Student,34.67850558,Commercial,19450,6,z_SUV,no,2981,2,No,5,NA,Highly Urban/ Urban,0,0,0,1,0
56,0,0,0,53,0,NA,107259.3148,No,343699.7248,Yes,M,Masters,Professional,36.15596606,Private,29230,10,Minivan,yes,0,0,No,0,15,Highly Urban/ Urban,1,0,0,0,0
57,0,0,0,39,3,7,34046.37814,No,183383.2163,Yes,z_F,z_High School,Clerical,33.30315605,Private,4040,6,z_SUV,no,0,0,No,0,5,z_Highly Rural/ Rural,0,0,0,0,0
58,0,0,0,33,3,14,32364.46146,No,152893.7224,Yes,M,<High School,Clerical,39.93090522,Private,12270,18,Minivan,yes,0,0,No,3,1,Highly Urban/ Urban,0,0,0,0,0
59,0,0,0,59,0,5,106775.4885,No,NA,z_No,M,Masters,Lawyer,10.48662474,Private,31930,1,Minivan,yes,0,0,No,0,NA,Highly Urban/ Urban,0,0,1,1,0
61,1,6100,0,40,0,11,16988.72135,No,0,z_No,M,<High School,z_Blue Collar,20.45001583,Commercial,12230,4,Pickup,yes,26104,1,Yes,13,6,Highly Urban/ Urban,0,0,0,0,0
65,1,8840.683568,0,44,2,15,16352.02931,No,134163.6382,Yes,z_F,z_High School,Home Maker,36.79485539,Private,10520,1,z_SUV,no,7838,1,No,1,1,Highly Urban/ Urban,0,0,0,0,0
66,0,0,0,56,0,16,44760.17356,No,164851.8657,Yes,M,Bachelors,Manager,30.08337796,Private,21770,13,Minivan,yes,0,0,No,0,6,Highly Urban/ Urban,0,0,0,0,0
67,1,2117,1,45,1,14,63952.17766,No,196367.8299,Yes,z_F,Masters,Lawyer,49.57689468,Private,32340,6,Van,no,27877,2,Yes,0,13,Highly Urban/ Urban,0,0,0,0,0
69,0,0,0,48,0,NA,NA,No,252896.3073,Yes,M,Bachelors,Professional,14.47202993,Commercial,28560,13,Panel Truck,yes,1554,5,No,1,10,Highly Urban/ Urban,1,1,0,0,0
70,1,3532,1,44,2,NA,24059.72157,Yes,0,z_No,M,Bachelors,Clerical,24.4301981,Private,14220,4,Minivan,no,0,0,No,0,10,Highly Urban/ Urban,1,0,0,0,0
71,1,866,0,33,4,12,20821.8463,No,76022.38853,Yes,z_F,z_High School,Home Maker,45.90771277,Private,6880,13,z_SUV,no,7896,3,No,0,1,Highly Urban/ Urban,0,0,0,0,0
72,0,0,0,32,3,14,54968.06115,No,146784.1288,Yes,z_F,z_High School,Professional,20.08315029,Private,10040,4,z_SUV,no,0,0,Yes,0,8,Highly Urban/ Urban,0,0,0,0,0
73,1,7786,0,34,0,8,14193.64818,No,87033.78698,z_No,z_F,<High School,Clerical,13.36723849,Private,2920,4,Sports Car,no,24767,3,Yes,2,10,Highly Urban/ Urban,0,0,0,0,0
74,0,0,1,38,4,12,2149.054822,No,72888.59869,Yes,z_F,<High School,Home Maker,35.06476339,Private,22690,10,Pickup,no,0,0,No,2,1,Highly Urban/ Urban,0,0,0,0,0
77,1,4148,2,43,3,11,137102.7342,Yes,0,z_No,z_F,Masters,Manager,28.80035701,Private,19510,1,Sports Car,no,8890,3,No,0,15,Highly Urban/ Urban,0,0,0,0,0
78,0,0,0,49,0,9,NA,No,0,z_No,M,PhD, ,30.98908093,Commercial,33710,3,Panel Truck,no,34351,2,Yes,2,18,Highly Urban/ Urban,0,1,0,0,0
79,0,0,0,46,0,10,79538.16377,No,0,z_No,z_F,Bachelors,Manager,12.92016393,Private,14050,3,Minivan,no,0,0,Yes,2,11,Highly Urban/ Urban,0,0,0,0,0
80,0,0,0,45,1,11,185836.4992,No,509114.6502,Yes,z_F,PhD,Lawyer,28.17554557,Private,10250,1,z_SUV,no,4307,3,No,6,20,Highly Urban/ Urban,0,0,0,0,0
81,0,0,0,46,0,14,NA,No,397660.5239,z_No,M,Masters, ,22.06663021,Commercial,33320,4,Panel Truck,yes,0,0,Yes,1,12,Highly Urban/ Urban,0,1,0,0,0
82,0,0,0,45,0,11,61931.02654,No,213530.3043,Yes,M,Masters, ,30.08519957,Commercial,10910,13,Pickup,yes,25106,2,No,0,NA,Highly Urban/ Urban,0,0,0,1,0
84,0,0,0,63,0,9,74426.19439,No,0,z_No,z_F,PhD,Doctor,11.15301472,Private,27600,1,z_SUV,no,0,0,No,0,18,Highly Urban/ Urban,0,0,0,0,0
85,0,0,0,44,0,9,74721.8442,No,231033.8849,Yes,z_F,Bachelors,Professional,8.965940108,Private,23640,6,Minivan,no,0,0,No,0,1,Highly Urban/ Urban,0,0,0,0,0
86,1,2371,1,45,2,11,102393.1799,Yes,0,z_No,M,Bachelors,Professional,24.86796984,Private,1500,1,Minivan,yes,0,0,No,2,11,Highly Urban/ Urban,0,0,0,0,0
88,0,0,0,48,0,0,0,No,98919.60319,Yes,z_F,z_High School,Home Maker,49.73257123,Private,8660,3,Sports Car,no,8363,2,No,3,NA,Highly Urban/ Urban,0,0,0,1,0
89,1,4804,1,37,2,12,NA,No,205211.4539,Yes,z_F,Bachelors,z_Blue Collar,43.0202791,Commercial,5200,1,z_SUV,no,2718,1,No,1,3,Highly Urban/ Urban,0,1,0,0,0
90,0,0,0,35,0,NA,29370.72306,No,0,z_No,z_F,<High School,Clerical,48.51973348,Private,4860,10,Sports Car,no,0,0,No,0,1,Highly Urban/ Urban,1,0,0,0,0
91,1,1354,0,48,0,12,31773.10396,No,165090.2964,Yes,M,z_High School,Clerical,14.45932328,Commercial,9640,13,Pickup,no,1212,1,No,4,1,Highly Urban/ Urban,0,0,0,0,0
93,0,0,0,49,0,0,0,No,159389.1276,Yes,z_F,Masters,Professional,41.9232013,Private,6400,10,z_SUV,no,9115,1,No,6,14,Highly Urban/ Urban,0,0,0,0,0
94,0,0,0,44,2,15,139330.446,Yes,316899.606,z_No,z_F,z_High School,z_Blue Collar,35.26603497,Commercial,22050,10,Sports Car,no,0,0,No,0,1,z_Highly Rural/ Rural,0,0,0,0,0
95,0,0,0,50,0,13,163295.6399,No,447616.2869,z_No,z_F,PhD,Lawyer,42.13917325,Private,22830,1,Minivan,no,0,0,No,0,14,z_Highly Rural/ Rural,0,0,0,0,0
96,0,0,0,30,1,10,17454.57266,Yes,140978.2651,z_No,z_F,<High School,z_Blue Collar,49.52604518,Private,12380,13,Minivan,no,0,0,No,0,6,z_Highly Rural/ Rural,0,0,0,0,0
97,0,0,0,54,0,NA,71006.605,No,240833.2542,Yes,M,Bachelors,Manager,60.90405748,Private,14000,6,Minivan,no,0,0,No,0,11,Highly Urban/ Urban,1,0,0,0,0
99,1,2425,0,53,0,6,38035.58347,No,153380.5523,Yes,z_F,z_High School,z_Blue Collar,32.18028505,Commercial,13140,1,z_SUV,no,0,0,No,4,1,Highly Urban/ Urban,0,0,0,0,0
100,0,0,0,53,0,13,41199.06904,No,150932.6587,z_No,z_F,Bachelors,Manager,21.49190132,Private,15360,1,z_SUV,no,0,0,No,0,8,Highly Urban/ Urban,0,0,0,0,0
101,0,0,0,29,1,10,38042.37399,Yes,202967.2033,z_No,M,z_High School,Professional,14.87358013,Private,15160,6,Minivan,no,0,0,No,0,1,Highly Urban/ Urban,0,0,0,0,0
102,0,0,0,58,0,11,91222.91949,No,0,z_No,M,Masters,Lawyer,23.09826357,Private,10620,6,Pickup,no,0,0,No,0,NA,Highly Urban/ Urban,0,0,0,1,0
103,0,0,0,55,0,7,45787.3631,No,173196.0412,Yes,z_F,Masters,Lawyer,5,Private,19380,6,Minivan,no,0,0,No,0,13,Highly Urban/ Urban,0,0,0,0,0
104,0,0,0,55,0,NA,84963.84741,No,227090.5645,Yes,M,Bachelors,z_Blue Collar,20.78461081,Commercial,5760,1,Pickup,yes,969,2,No,6,11,Highly Urban/ Urban,1,0,0,0,0
105,0,0,0,56,0,8,38240.15672,No,190674.9824,Yes,z_F,z_High School,Clerical,28.48202879,Private,16220,4,z_SUV,no,0,0,No,0,NA,z_Highly Rural/ Rural,0,0,0,1,0
108,0,0,0,34,0,11,51565.46081,No,0,z_No,M,Masters,Lawyer,36.45104575,Private,18110,1,Van,yes,759,2,No,3,15,Highly Urban/ Urban,0,0,0,0,0
109,1,5711,0,34,3,0,0,No,66358.29913,Yes,z_F,z_High School,Home Maker,24.52000126,Private,11740,9,z_SUV,no,1800,2,No,2,1,Highly Urban/ Urban,0,0,0,0,0
110,0,0,0,36,0,11,105384.2667,No,267508.9624,Yes,M,Masters,Professional,23.9167612,Private,13800,7,Minivan,yes,31695,3,Yes,4,17,Highly Urban/ Urban,0,0,0,0,0
111,1,13105.32763,0,41,0,10,66265.3521,No,159276.147,Yes,M,Masters,Lawyer,58.54745552,Private,12230,4,Minivan,yes,0,0,No,1,9,Highly Urban/ Urban,0,0,0,0,0
112,1,4061,0,46,0,7,NA,No,NA,z_No,M,Masters, ,16.52232683,Commercial,23350,13,Panel Truck,yes,4678,3,No,6,17,Highly Urban/ Urban,0,1,1,0,0
114,0,0,0,42,0,9,76225.78221,No,217920.4895,Yes,M,Bachelors,z_Blue Collar,17.96204147,Commercial,23390,13,Panel Truck,yes,0,0,No,0,14,Highly Urban/ Urban,0,0,0,0,0
115,0,0,1,38,3,16,7527.931959,No,113808.7617,Yes,M,<High School,Clerical,25.5272974,Private,8080,1,Pickup,yes,0,0,No,0,8,z_Highly Rural/ Rural,0,0,0,0,0
116,1,7838,0,33,4,0,0,Yes,0,z_No,M,z_High School,Student,13.66285957,Commercial,15090,1,Minivan,yes,1631,1,No,2,5,Highly Urban/ Urban,0,0,0,0,0
117,1,3660,0,37,0,0,NA,No,73889.97624,Yes,z_F,Bachelors,Student,48.14333635,Commercial,12850,7,z_SUV,no,0,0,No,3,6,Highly Urban/ Urban,0,1,0,0,0
118,0,0,1,42,1,9,32796.57088,No,160661.4012,Yes,z_F,Masters,Lawyer,63.21937724,Private,21690,1,Minivan,no,0,0,No,2,14,Highly Urban/ Urban,0,0,0,0,0
119,1,5125,0,47,0,11,44705.21281,No,217885.0948,Yes,z_F,Bachelors,Professional,50.0889763,Private,12840,1,z_SUV,no,1533,2,No,0,10,Highly Urban/ Urban,0,0,0,0,0
121,0,0,0,52,0,9,68992.00528,No,216986.0757,z_No,z_F,Bachelors,z_Blue Collar,35.6494128,Commercial,15120,1,Minivan,no,0,0,No,3,10,z_Highly Rural/ Rural,0,0,0,0,0
122,0,0,0,43,0,11,132560.8502,No,314432.7575,z_No,M,Masters,Professional,8.183487702,Commercial,30150,16,Panel Truck,no,12294,1,No,0,1,Highly Urban/ Urban,0,0,0,0,0
124,0,0,0,66,1,17,96829.72411,No,325825.7278,Yes,M,Masters,Professional,23.41662386,Private,11180,7,z_SUV,no,0,0,No,0,16,Highly Urban/ Urban,0,0,0,0,0
127,1,2143,0,52,0,7,64013.81632,No,244862.5221,Yes,M,<High School,z_Blue Collar,32.71723445,Commercial,7900,4,Pickup,yes,8882,3,No,1,5,Highly Urban/ Urban,0,0,0,0,0
130,0,0,1,38,1,7,NA,No,0,Yes,z_F,z_High School,Student,40.17564432,Private,7050,4,Sports Car,no,0,0,No,0,10,z_Highly Rural/ Rural,0,1,0,0,0
132,0,0,0,47,0,14,NA,No,276240.8494,Yes,M,Bachelors,Manager,47.83078842,Private,21320,1,Van,yes,0,0,No,0,13,Highly Urban/ Urban,0,1,0,0,0
133,0,0,0,37,0,12,123519.6401,No,383730.7167,Yes,M,Bachelors,z_Blue Collar,14.36439136,Commercial,17550,1,Van,no,0,0,No,0,NA,Highly Urban/ Urban,0,0,0,1,0
134,0,0,0,47,0,13,45257.20732,No,160051.1297,Yes,M,Bachelors,Clerical,32.66854833,Commercial,29210,6,Panel Truck,yes,0,0,No,0,NA,Highly Urban/ Urban,0,0,0,1,0
136,0,0,1,61,2,17,41857.20309,No,169015.1568,Yes,z_F,Masters,Manager,34.86158222,Private,20870,1,Sports Car,no,0,0,No,0,21,Highly Urban/ Urban,0,0,0,0,0
137,1,2114,0,41,1,8,126468.265,Yes,0,z_No,z_F,Masters,Manager,34.49456294,Commercial,32690,3,Pickup,no,0,0,No,2,18,Highly Urban/ Urban,0,0,0,0,0
138,0,0,3,40,3,9,75516.3361,No,247672.7975,Yes,z_F,z_High School,z_Blue Collar,52.87912779,Commercial,13050,5,Sports Car,no,0,0,Yes,0,6,z_Highly Rural/ Rural,0,0,0,0,0
139,0,0,0,52,0,16,76953.90227,No,249289.5661,z_No,M,Bachelors,Professional,43.71954121,Private,19540,6,Minivan,yes,0,0,Yes,0,11,Highly Urban/ Urban,0,0,0,0,0
140,0,0,0,58,1,8,150352.4622,No,421665.242,Yes,z_F,Masters,Manager,21.01265924,Private,24240,6,Pickup,no,0,0,No,0,17,Highly Urban/ Urban,0,0,0,0,0
142,1,8671,1,38,1,12,37579.71165,No,173495.3221,Yes,z_F,<High School,Clerical,35.81813031,Private,5260,7,z_SUV,no,867,2,No,0,1,Highly Urban/ Urban,0,0,0,0,0
143,1,6287,0,41,2,15,23344.16706,No,147172.1553,Yes,M,z_High School,z_Blue Collar,9.92626961,Private,7930,1,Pickup,no,0,0,No,1,1,Highly Urban/ Urban,0,0,0,0,0
144,0,0,0,37,0,16,43289.7913,No,158771.3724,Yes,z_F,Bachelors,z_Blue Collar,29.45506812,Private,23640,1,z_SUV,no,0,0,No,0,10,Highly Urban/ Urban,0,0,0,0,0
145,0,0,0,48,0,10,48737.21225,No,220263.7848,Yes,M,Bachelors,Manager,23.88800234,Private,11220,9,Pickup,yes,0,0,No,1,1,Highly Urban/ Urban,0,0,0,0,0
146,0,0,0,47,0,12,64259.48256,No,202031.3889,Yes,M,z_High School,Clerical,25.57420366,Private,25100,18,Minivan,no,9526,4,No,3,9,Highly Urban/ Urban,0,0,0,0,0
149,0,0,0,41,0,6,12541.07726,No,0,z_No,M,<High School,Clerical,5,Private,7500,1,Minivan,yes,0,0,No,0,1,z_Highly Rural/ Rural,0,0,0,0,0
150,0,0,0,47,0,12,104270.5111,No,265153.267,Yes,M,Masters, ,40.19872828,Commercial,36120,4,Panel Truck,yes,0,0,No,0,11,Highly Urban/ Urban,0,0,0,0,0
152,0,0,0,44,1,NA,67277.95762,No,220555.7401,Yes,z_F,Masters,Lawyer,49.35766514,Private,20210,1,Minivan,no,0,0,No,0,16,z_Highly Rural/ Rural,1,0,0,0,0
153,0,0,0,46,0,10,104990.1114,No,306539.6476,z_No,z_F,Bachelors,Professional,39.94194877,Private,16080,13,z_SUV,no,0,0,No,0,7,Highly Urban/ Urban,0,0,0,0,0
154,0,0,0,49,0,6,89947.99484,No,0,z_No,z_F,Bachelors,Professional,36.9214354,Private,18160,7,z_SUV,no,0,0,No,4,9,Highly Urban/ Urban,0,0,0,0,0
155,0,0,0,33,1,12,111426.9466,No,321483.0621,Yes,z_F,Masters, ,34.86869575,Commercial,28180,1,Van,no,0,0,No,3,4,Highly Urban/ Urban,0,0,0,0,0
158,1,1807,1,43,2,11,76158.64499,Yes,0,z_No,z_F,Bachelors,Professional,52.42306084,Private,19750,4,z_SUV,no,0,0,Yes,0,NA,Highly Urban/ Urban,0,0,0,1,0
159,0,0,0,62,0,6,107734.3505,No,0,z_No,z_F,PhD,Lawyer,53.90578607,Private,18470,3,z_SUV,no,0,0,No,0,15,Highly Urban/ Urban,0,0,0,0,0
160,1,10593.94663,0,42,0,0,0,No,NA,z_No,M,<High School,Student,46.93284039,Commercial,5700,11,Pickup,yes,0,0,No,5,1,Highly Urban/ Urban,0,0,1,0,0
161,0,0,0,36,2,12,25282.17597,Yes,0,z_No,z_F,z_High School,Clerical,37.64276345,Private,11160,1,z_SUV,no,0,0,No,0,1,z_Highly Rural/ Rural,0,0,0,0,0
162,0,0,0,47,0,11,18548.73653,No,116136.2784,Yes,M,Masters,Lawyer,23.98627811,Private,12800,7,Minivan,no,0,0,No,0,14,Highly Urban/ Urban,0,0,0,0,0
163,0,0,0,50,0,14,NA,No,147191.3362,Yes,M,z_High School,Clerical,10.95329756,Commercial,17300,13,Van,yes,0,0,No,0,7,Highly Urban/ Urban,0,1,0,0,0
164,0,0,0,51,0,9,50165.6137,No,187296.8643,z_No,M,z_High School,z_Blue Collar,32.44100984,Commercial,11620,1,Pickup,no,50701,3,Yes,0,1,Highly Urban/ Urban,0,0,0,0,0
165,0,0,0,46,0,8,73871.57578,No,245877.5013,Yes,z_F,Masters,Lawyer,42.80273848,Private,20240,4,Sports Car,no,0,0,No,0,16,z_Highly Rural/ Rural,0,0,0,0,0
166,0,0,0,50,0,14,73343.03733,No,254599.8252,Yes,z_F,z_High School,Manager,59.82551002,Private,20010,1,Minivan,no,4179,2,No,4,8,Highly Urban/ Urban,0,0,0,0,0
167,1,6158,0,43,2,15,49848.95817,Yes,0,z_No,z_F,Masters,Lawyer,35.02097056,Private,13130,1,z_SUV,no,3622,3,No,4,20,Highly Urban/ Urban,0,0,0,0,0
168,1,4887,1,39,1,16,12054.36967,No,0,Yes,z_F,<High School,Student,28.06624321,Commercial,15760,4,Pickup,no,1738,2,Yes,4,1,Highly Urban/ Urban,0,0,0,0,0
169,0,0,0,43,3,14,48184.26337,No,209188.2652,Yes,z_F,z_High School,z_Blue Collar,50.49990419,Commercial,14530,12,Sports Car,no,6891,2,No,5,1,Highly Urban/ Urban,0,0,0,0,0
170,1,5147,0,60,3,18,78935.92347,No,235670.3318,Yes,z_F,Masters,Lawyer,39.87329963,Private,20350,6,z_SUV,no,0,0,No,0,15,Highly Urban/ Urban,0,0,0,0,0
171,0,0,0,55,0,0,0,No,0,z_No,M,<High School,Student,33.14790796,Private,7000,4,Pickup,no,0,0,No,0,1,z_Highly Rural/ Rural,0,0,0,0,0
172,0,0,0,40,0,10,78913.72634,No,229054.5325,z_No,z_F,Bachelors,Manager,36.40559138,Private,5500,10,z_SUV,no,6803,2,No,6,10,Highly Urban/ Urban,0,0,0,0,0
173,0,0,0,39,0,6,77125.02002,No,210839.9319,Yes,z_F,Bachelors,Clerical,48.96256934,Private,9570,7,Sports Car,no,0,0,No,1,13,Highly Urban/ Urban,0,0,0,0,0
175,0,0,0,38,0,14,25835.16735,No,109685.3918,Yes,M,z_High School,Clerical,28.7139825,Private,8490,6,Pickup,yes,0,0,No,1,12,Highly Urban/ Urban,0,0,0,0,0
