"","TARGET_FLAG","JOB_.","JOB_Clerical","JOB_Doctor","JOB_Home.Maker","JOB_Lawyer","JOB_Manager","JOB_Professional","JOB_Student","JOB_z_Blue.Collar","JOB.category"
"255",0,0,1,0,0,0,0,0,0,0,0
"256",1,0,0,0,0,0,0,0,0,1,1
"257",1,0,1,0,0,0,0,0,0,0,0
"258",1,1,0,0,0,0,0,0,0,0,1
"259",0,0,0,0,0,0,1,0,0,0,1
"260",0,0,0,0,0,0,0,0,1,0,0
"262",0,0,0,0,0,1,0,0,0,0,1
"263",1,0,0,0,0,0,0,0,0,1,1
"264",1,0,0,0,0,0,0,0,1,0,0
"266",0,1,0,0,0,0,0,0,0,0,1
"267",0,0,0,0,0,1,0,0,0,0,1
"269",0,0,0,0,0,0,0,0,0,1,1
"270",0,0,0,0,0,0,0,0,0,1,1
"271",1,0,0,0,0,1,0,0,0,0,1
"272",0,0,0,1,0,0,0,0,0,0,1
"274",0,1,0,0,0,0,0,0,0,0,1
"275",0,0,0,0,0,0,0,0,1,0,0
"276",1,0,1,0,0,0,0,0,0,0,0
"277",0,0,0,0,0,0,0,0,0,1,1
"278",1,0,0,0,0,0,0,0,0,1,1
"279",0,0,0,1,0,0,0,0,0,0,1
"281",0,1,0,0,0,0,0,0,0,0,1
"282",0,0,0,0,0,0,0,0,1,0,0
"284",1,0,0,0,0,1,0,0,0,0,1
"285",0,0,0,0,0,0,1,0,0,0,1
"287",0,0,0,0,0,0,1,0,0,0,1
"288",0,0,0,0,1,0,0,0,0,0,0
"289",0,0,0,0,0,0,0,0,0,1,1
"291",1,0,1,0,0,0,0,0,0,0,0
"293",0,0,0,0,0,0,0,0,0,1,1
"295",0,0,0,0,0,0,0,0,0,1,1
"297",1,0,0,0,0,0,0,0,0,1,1
"298",1,0,0,0,0,0,0,0,0,1,1
"299",0,1,0,0,0,0,0,0,0,0,1
"300",0,0,0,1,0,0,0,0,0,0,1
"302",1,0,1,0,0,0,0,0,0,0,0
"303",0,0,0,0,0,0,0,0,0,1,1
"307",0,0,0,0,0,0,1,0,0,0,1
"308",0,0,0,0,0,1,0,0,0,0,1
"309",1,0,0,0,1,0,0,0,0,0,0
"311",1,0,0,0,1,0,0,0,0,0,0
"312",1,0,0,0,0,0,0,0,1,0,0
"314",1,1,0,0,0,0,0,0,0,0,1
"315",1,0,0,0,0,0,0,0,1,0,0
"316",1,0,0,0,0,0,0,0,0,1,1
"317",0,0,0,0,0,1,0,0,0,0,1
"318",0,0,0,0,0,1,0,0,0,0,1
"319",0,0,0,0,0,0,0,0,1,0,0
"321",0,0,0,0,0,0,0,1,0,0,1
"322",0,0,0,0,0,0,0,1,0,0,1
"323",0,0,0,0,0,0,1,0,0,0,1
"325",0,0,0,0,0,0,0,0,0,1,1
"327",0,0,0,0,1,0,0,0,0,0,0
"328",0,0,0,0,0,0,1,0,0,0,1
"329",0,0,0,0,0,0,0,1,0,0,1
"330",0,1,0,0,0,0,0,0,0,0,1
"331",0,0,0,0,0,0,0,0,0,1,1
"332",1,0,0,0,0,0,0,0,0,1,1
"333",0,0,0,0,0,1,0,0,0,0,1
"334",1,0,0,0,0,1,0,0,0,0,1
"335",1,0,0,0,0,0,0,0,0,1,1
"336",0,0,0,0,0,0,0,0,0,1,1
"337",1,0,0,0,0,0,0,0,1,0,0
"338",1,0,1,0,0,0,0,0,0,0,0
"339",1,0,0,0,0,0,0,0,0,1,1
"340",0,0,0,0,0,0,0,0,0,1,1
"343",1,0,1,0,0,0,0,0,0,0,0
"344",0,0,0,0,0,0,0,1,0,0,1
"345",0,0,0,0,0,0,0,0,0,1,1
"346",1,0,0,0,0,0,0,0,0,1,1
"347",1,1,0,0,0,0,0,0,0,0,1
"348",0,0,0,0,0,0,0,0,1,0,0
"349",0,0,0,0,0,0,0,0,0,1,1
"352",0,0,0,0,0,0,0,0,0,1,1
"353",1,0,0,0,0,0,0,0,0,1,1
"355",1,0,1,0,0,0,0,0,0,0,0
"356",0,0,1,0,0,0,0,0,0,0,0
"358",1,0,0,0,0,0,1,0,0,0,1
"359",0,0,0,0,0,0,0,0,0,1,1
"361",0,0,1,0,0,0,0,0,0,0,0
"362",0,0,0,0,0,1,0,0,0,0,1
"363",0,0,0,0,0,0,0,1,0,0,1
"364",1,0,0,0,0,0,0,1,0,0,1
"366",0,0,0,0,0,0,1,0,0,0,1
"368",0,0,0,0,0,0,0,0,1,0,0
"369",0,0,0,0,0,0,0,0,0,1,1
"371",0,1,0,0,0,0,0,0,0,0,1
"373",0,0,1,0,0,0,0,0,0,0,0
"374",0,0,0,0,0,0,0,0,0,1,1
"375",1,0,0,0,0,0,0,0,0,1,1
"376",0,0,0,0,0,0,1,0,0,0,1
"377",0,0,0,0,0,0,0,0,1,0,0
"378",0,0,1,0,0,0,0,0,0,0,0
"381",0,0,1,0,0,0,0,0,0,0,0
"384",1,0,1,0,0,0,0,0,0,0,0
"385",0,0,1,0,0,0,0,0,0,0,0
"388",0,0,0,0,0,0,0,0,0,1,1
"389",0,0,0,0,0,0,0,0,0,1,1
"391",0,0,1,0,0,0,0,0,0,0,0
"392",0,0,0,0,0,0,0,0,0,1,1
"393",1,0,0,0,0,0,1,0,0,0,1
"396",0,0,0,0,0,0,0,1,0,0,1
"398",0,0,0,0,0,0,0,0,1,0,0
"399",1,0,0,0,0,0,0,0,0,1,1
"400",0,0,0,0,1,0,0,0,0,0,0
"403",0,0,0,0,0,0,0,0,1,0,0
"404",1,0,0,0,0,0,0,0,0,1,1
"407",0,0,0,0,0,0,0,0,0,1,1
"408",0,0,0,0,0,1,0,0,0,0,1
"409",0,0,0,0,0,1,0,0,0,0,1
"411",0,1,0,0,0,0,0,0,0,0,1
"412",0,0,0,0,0,0,1,0,0,0,1
"414",0,0,0,0,0,0,0,0,0,1,1
"416",0,0,0,0,0,1,0,0,0,0,1
"418",1,0,1,0,0,0,0,0,0,0,0
"419",0,0,0,0,0,0,1,0,0,0,1
"420",0,0,0,0,0,0,0,0,0,1,1
"421",0,0,0,0,0,0,0,0,0,1,1
"422",0,0,0,0,1,0,0,0,0,0,0
"423",0,0,0,0,0,1,0,0,0,0,1
"424",0,0,0,0,0,1,0,0,0,0,1
"425",0,0,0,0,0,1,0,0,0,0,1
"426",0,0,1,0,0,0,0,0,0,0,0
"427",0,0,0,0,0,1,0,0,0,0,1
"428",1,0,0,0,0,0,0,0,1,0,0
"429",1,0,0,0,0,0,0,0,1,0,0
"430",0,0,0,0,0,0,0,0,0,1,1
"432",0,0,0,0,0,0,0,1,0,0,1
"433",0,0,0,0,0,0,0,0,0,1,1
"437",0,0,0,0,0,0,0,0,0,1,1
"438",1,0,1,0,0,0,0,0,0,0,0
"439",1,0,0,0,0,0,0,0,0,1,1
"441",0,0,0,0,0,0,0,1,0,0,1
"442",0,0,1,0,0,0,0,0,0,0,0
"443",1,0,0,0,0,0,0,1,0,0,1
"444",0,0,0,0,1,0,0,0,0,0,0
"445",1,0,0,0,0,0,0,0,0,1,1
"447",0,0,0,0,0,0,0,0,0,1,1
"450",1,0,0,0,0,0,0,0,0,1,1
"451",0,0,0,0,0,0,1,0,0,0,1
"453",0,0,0,0,1,0,0,0,0,0,0
"454",0,0,0,0,1,0,0,0,0,0,0
"456",1,0,0,0,0,0,0,0,0,1,1
"458",0,0,0,0,0,0,1,0,0,0,1
"460",1,0,0,0,0,0,0,0,0,1,1
"461",0,0,0,0,0,0,0,0,0,1,1
"463",0,0,0,0,0,0,0,0,0,1,1
"464",0,0,0,0,0,0,0,0,1,0,0
"465",0,0,0,0,0,0,0,1,0,0,1
"469",1,0,0,0,0,0,0,0,0,1,1
"471",1,0,0,0,0,0,0,0,0,1,1
"472",0,0,0,0,0,0,0,0,0,1,1
"473",0,1,0,0,0,0,0,0,0,0,1
"474",1,0,0,0,0,0,0,0,1,0,0
"475",1,0,0,0,0,0,0,0,1,0,0
"477",0,0,0,0,1,0,0,0,0,0,0
"478",0,0,0,0,0,0,1,0,0,0,1
"479",0,0,0,1,0,0,0,0,0,0,1
"481",0,0,0,0,0,0,0,0,1,0,0
"482",0,0,0,0,1,0,0,0,0,0,0
"484",1,0,0,0,0,0,0,0,0,1,1
"485",0,0,0,0,0,0,0,0,1,0,0
"486",1,1,0,0,0,0,0,0,0,0,1
"487",0,0,0,0,0,0,0,0,0,1,1
"488",0,1,0,0,0,0,0,0,0,0,1
"492",0,0,0,0,1,0,0,0,0,0,0
"494",0,0,0,0,0,0,0,1,0,0,1
"495",0,0,0,0,0,0,1,0,0,0,1
"496",0,0,0,0,0,0,0,0,1,0,0
"498",1,0,0,0,0,0,0,1,0,0,1
"500",0,0,0,0,0,0,0,1,0,0,1
"502",0,0,0,0,0,0,1,0,0,0,1
"503",0,0,0,0,0,0,0,0,0,1,1
"504",0,0,0,0,0,0,0,0,0,1,1
"508",1,0,0,0,0,0,0,0,0,1,1
"510",1,0,0,0,0,0,0,0,0,1,1
"511",0,1,0,0,0,0,0,0,0,0,1
"513",0,0,0,0,1,0,0,0,0,0,0
"515",0,0,0,0,0,0,0,0,0,1,1
"516",0,0,0,0,0,0,0,1,0,0,1
"517",0,0,0,0,0,0,0,1,0,0,1
"518",0,1,0,0,0,0,0,0,0,0,1
"519",1,0,0,0,0,0,0,0,1,0,0
"524",0,0,0,0,1,0,0,0,0,0,0
"525",0,0,1,0,0,0,0,0,0,0,0
"526",0,0,0,0,0,0,0,0,0,1,1
"527",0,0,0,0,0,1,0,0,0,0,1
"536",0,0,0,0,0,0,0,0,0,1,1
"539",0,0,0,0,0,0,0,0,1,0,0
"540",0,0,0,0,0,1,0,0,0,0,1
"542",0,0,0,0,0,0,0,0,0,1,1
"543",0,0,0,0,0,0,0,0,1,0,0
"544",0,0,0,0,0,0,1,0,0,0,1
"545",0,0,0,0,1,0,0,0,0,0,0
"546",0,0,0,0,1,0,0,0,0,0,0
"547",0,0,0,0,0,0,0,1,0,0,1
"548",1,0,0,0,0,0,0,0,0,1,1
"549",0,0,0,0,0,1,0,0,0,0,1
"551",1,0,0,0,0,0,0,1,0,0,1
"553",0,0,1,0,0,0,0,0,0,0,0
"556",1,1,0,0,0,0,0,0,0,0,1
"557",0,0,0,0,1,0,0,0,0,0,0
"559",0,0,0,0,1,0,0,0,0,0,0
"560",1,1,0,0,0,0,0,0,0,0,1
"564",0,0,0,0,0,0,0,0,0,1,1
"568",0,0,0,0,0,1,0,0,0,0,1
"570",0,0,0,1,0,0,0,0,0,0,1
"572",0,0,1,0,0,0,0,0,0,0,0
"574",0,0,0,0,0,0,0,0,0,1,1
"576",0,0,0,0,0,0,0,0,1,0,0
"577",0,0,0,0,0,0,0,0,0,1,1
"578",0,0,0,0,0,0,0,0,0,1,1
"580",0,0,0,0,0,1,0,0,0,0,1
"581",1,0,1,0,0,0,0,0,0,0,0
"582",0,0,1,0,0,0,0,0,0,0,0
"584",0,0,0,0,0,1,0,0,0,0,1
"585",0,0,0,0,0,0,0,1,0,0,1
"586",1,0,0,0,0,0,0,0,0,1,1
"587",0,0,0,0,0,0,1,0,0,0,1
"588",0,0,1,0,0,0,0,0,0,0,0
"589",0,0,0,0,1,0,0,0,0,0,0
"591",0,0,0,0,0,0,0,0,0,1,1
"592",0,0,0,0,1,0,0,0,0,0,0
"593",1,0,0,0,0,0,0,0,0,1,1
"594",0,0,0,0,0,0,0,1,0,0,1
"595",0,0,0,0,0,0,0,0,0,1,1
"596",0,0,1,0,0,0,0,0,0,0,0
"597",0,0,0,0,0,0,0,0,0,1,1
"599",0,0,0,0,0,1,0,0,0,0,1
"600",0,0,0,0,1,0,0,0,0,0,0
"602",1,0,0,0,1,0,0,0,0,0,0
"603",0,0,0,0,0,0,0,0,1,0,0
"605",0,0,0,0,0,0,0,0,0,1,1
"608",0,0,1,0,0,0,0,0,0,0,0
"609",0,0,0,0,0,0,0,0,0,1,1
"610",1,0,0,0,0,0,0,0,0,1,1
"612",0,0,0,0,0,0,0,0,0,1,1
"613",0,0,0,0,0,0,0,0,0,1,1
"614",0,1,0,0,0,0,0,0,0,0,1
"615",0,0,0,0,0,0,0,1,0,0,1
"618",1,0,0,0,0,0,0,1,0,0,1
"619",0,0,0,0,1,0,0,0,0,0,0
"620",0,0,1,0,0,0,0,0,0,0,0
"621",0,0,0,0,0,0,1,0,0,0,1
"622",0,0,0,0,0,1,0,0,0,0,1
"623",0,0,1,0,0,0,0,0,0,0,0
"624",0,0,0,0,0,0,0,0,0,1,1
"626",0,0,0,0,0,0,1,0,0,0,1
"627",0,0,1,0,0,0,0,0,0,0,0
"629",0,0,0,0,0,0,1,0,0,0,1
"630",0,0,1,0,0,0,0,0,0,0,0
"631",1,0,0,0,0,0,0,0,1,0,0
"632",0,0,0,0,0,0,1,0,0,0,1
"634",0,0,1,0,0,0,0,0,0,0,0
"635",1,0,0,0,0,0,0,0,1,0,0
"636",0,0,0,0,0,1,0,0,0,0,1
"639",0,0,0,0,0,0,0,0,1,0,0
"640",0,0,1,0,0,0,0,0,0,0,0
"641",0,0,0,0,0,1,0,0,0,0,1
"642",0,1,0,0,0,0,0,0,0,0,1
"646",0,0,0,1,0,0,0,0,0,0,1
"647",0,0,1,0,0,0,0,0,0,0,0
"648",0,0,0,0,0,1,0,0,0,0,1
"651",0,0,1,0,0,0,0,0,0,0,0
"654",1,0,1,0,0,0,0,0,0,0,0
"656",0,0,0,0,0,1,0,0,0,0,1
"657",0,0,1,0,0,0,0,0,0,0,0
"659",0,1,0,0,0,0,0,0,0,0,1
"662",1,0,1,0,0,0,0,0,0,0,0
"663",0,1,0,0,0,0,0,0,0,0,1
"665",1,0,0,0,0,0,0,1,0,0,1
"666",0,0,0,0,0,0,0,1,0,0,1
"667",1,0,1,0,0,0,0,0,0,0,0
"669",0,0,0,0,0,0,0,1,0,0,1
"670",0,0,0,0,0,0,0,1,0,0,1
"671",0,0,1,0,0,0,0,0,0,0,0
"672",0,0,1,0,0,0,0,0,0,0,0
"673",0,0,0,0,0,1,0,0,0,0,1
"674",0,0,1,0,0,0,0,0,0,0,0
"677",0,0,0,0,0,1,0,0,0,0,1
"679",1,0,0,0,0,0,0,1,0,0,1
"680",0,0,1,0,0,0,0,0,0,0,0
"683",0,0,0,0,0,0,0,0,0,1,1
"686",0,0,1,0,0,0,0,0,0,0,0
"687",0,0,0,0,0,0,0,1,0,0,1
"688",1,0,1,0,0,0,0,0,0,0,0
"689",0,0,0,0,0,0,0,0,0,1,1
"690",0,0,0,0,0,0,0,0,0,1,1
"691",0,0,0,0,0,0,0,1,0,0,1
"692",1,0,1,0,0,0,0,0,0,0,0
"694",0,0,0,0,0,0,0,1,0,0,1
"696",0,0,0,0,0,1,0,0,0,0,1
"697",0,0,0,0,0,0,0,0,0,1,1
"698",0,0,0,0,0,1,0,0,0,0,1
"699",0,0,0,0,0,0,1,0,0,0,1
"700",0,0,0,0,0,0,0,1,0,0,1
"701",0,0,0,0,0,0,0,0,0,1,1
"703",0,0,0,0,0,0,0,0,1,0,0
"704",0,0,0,0,0,0,0,0,0,1,1
"705",0,0,0,0,0,0,1,0,0,0,1
"706",0,0,0,0,0,1,0,0,0,0,1
"708",0,0,0,0,0,0,0,0,1,0,0
"709",0,0,0,0,0,0,0,0,0,1,1
"710",0,0,0,0,0,0,0,0,0,1,1
"712",0,0,0,0,0,0,0,0,0,1,1
"714",0,0,0,0,0,1,0,0,0,0,1
"715",0,0,0,0,0,1,0,0,0,0,1
"717",0,0,0,0,1,0,0,0,0,0,0
"718",0,1,0,0,0,0,0,0,0,0,1
"719",0,0,0,0,0,0,0,0,1,0,0
"722",0,0,1,0,0,0,0,0,0,0,0
"723",0,0,0,0,0,1,0,0,0,0,1
"724",1,0,0,0,0,1,0,0,0,0,1
"725",0,0,0,0,0,0,1,0,0,0,1
"726",0,0,0,0,0,1,0,0,0,0,1
"727",0,0,0,0,0,0,0,1,0,0,1
"732",0,0,0,0,0,0,1,0,0,0,1
"733",0,0,1,0,0,0,0,0,0,0,0
"734",0,1,0,0,0,0,0,0,0,0,1
"736",0,0,0,0,0,1,0,0,0,0,1
"740",0,0,0,1,0,0,0,0,0,0,1
"741",0,0,0,0,0,0,0,1,0,0,1
"742",1,1,0,0,0,0,0,0,0,0,1
"744",0,0,1,0,0,0,0,0,0,0,0
"746",0,0,1,0,0,0,0,0,0,0,0
"747",0,0,0,0,0,0,0,0,1,0,0
"749",0,0,0,0,0,0,1,0,0,0,1
"751",0,0,0,0,0,0,0,0,0,1,1
"752",0,0,0,0,0,0,0,0,1,0,0
"753",0,0,0,0,0,0,0,0,0,1,1
"754",0,0,0,0,0,0,1,0,0,0,1
"756",1,0,0,0,1,0,0,0,0,0,0
"758",0,1,0,0,0,0,0,0,0,0,1
"761",0,1,0,0,0,0,0,0,0,0,1
"762",0,0,0,0,0,0,0,1,0,0,1
"763",0,0,0,0,0,0,0,0,0,1,1
"765",0,0,0,0,0,1,0,0,0,0,1
"766",0,0,1,0,0,0,0,0,0,0,0
"767",0,0,0,0,0,1,0,0,0,0,1
"771",0,0,0,0,0,0,1,0,0,0,1
"772",0,0,0,0,0,1,0,0,0,0,1
"776",1,0,0,0,0,0,0,0,0,1,1
"777",0,0,0,0,0,0,0,1,0,0,1
"778",1,0,0,0,1,0,0,0,0,0,0
"781",0,0,0,0,0,0,0,0,1,0,0
"782",0,0,1,0,0,0,0,0,0,0,0
"783",0,0,0,0,0,0,0,1,0,0,1
"784",0,0,0,0,0,0,0,0,1,0,0
"785",1,0,0,0,0,0,1,0,0,0,1
"786",1,0,1,0,0,0,0,0,0,0,0
"787",0,0,0,0,0,0,0,0,0,1,1
"788",0,0,0,0,0,0,0,0,0,1,1
"789",1,0,0,0,0,0,0,0,0,1,1
"791",0,0,0,0,0,0,0,1,0,0,1
"795",1,0,1,0,0,0,0,0,0,0,0
"796",0,0,0,0,0,0,0,0,1,0,0
"797",0,0,0,0,0,0,0,1,0,0,1
"798",0,0,0,0,1,0,0,0,0,0,0
"799",0,0,0,0,0,0,1,0,0,0,1
"800",0,0,0,0,0,0,0,1,0,0,1
"802",0,0,0,0,0,0,1,0,0,0,1
"803",1,0,1,0,0,0,0,0,0,0,0
"804",1,0,0,0,0,1,0,0,0,0,1
"805",0,0,0,0,0,0,1,0,0,0,1
"807",1,0,1,0,0,0,0,0,0,0,0
"808",1,0,0,0,0,0,1,0,0,0,1
"809",0,0,0,0,0,0,0,0,0,1,1
"811",0,0,0,0,0,0,0,1,0,0,1
"812",0,0,0,0,0,0,0,0,0,1,1
"813",0,0,0,0,0,0,0,0,0,1,1
"814",0,0,0,0,0,1,0,0,0,0,1
"815",1,0,0,0,0,0,0,0,0,1,1
"816",0,0,0,0,0,0,1,0,0,0,1
"817",0,0,0,0,0,0,0,0,1,0,0
"818",0,0,0,0,0,0,1,0,0,0,1
"819",1,1,0,0,0,0,0,0,0,0,1
"820",0,0,0,0,0,1,0,0,0,0,1
"822",0,0,0,0,0,0,0,1,0,0,1
"823",0,0,0,0,0,0,1,0,0,0,1
"824",0,0,0,0,0,0,1,0,0,0,1
"825",0,0,0,0,0,1,0,0,0,0,1
"826",1,0,0,0,0,1,0,0,0,0,1
"828",0,0,0,0,0,0,0,0,1,0,0
"830",1,0,1,0,0,0,0,0,0,0,0
"833",0,0,0,0,0,0,1,0,0,0,1
"834",0,0,0,0,0,0,0,1,0,0,1
"837",0,0,1,0,0,0,0,0,0,0,0
"839",0,0,0,0,0,0,0,1,0,0,1
"845",1,0,0,0,0,0,0,0,0,1,1
"847",0,0,0,0,0,0,0,0,0,1,1
"848",0,0,0,0,0,0,0,0,1,0,0
