"","y","AGE","INCOME","TRAVTIME","BLUEBOOK","OLDCLAIM","CLM_FREQ","MVR_PTS"
"51",1,44,16352.02931,36.79485539,10520,7838,1,1
"52",0,56,44760.17356,30.08337796,21770,0,0,0
"53",1,45,63952.17766,49.57689468,32340,27877,2,0
"54",0,48,NA,14.47202993,28560,1554,5,1
"55",1,44,24059.72157,24.4301981,14220,0,0,0
"56",1,33,20821.8463,45.90771277,6880,7896,3,0
"58",1,34,14193.64818,13.36723849,2920,24767,3,2
"59",0,38,2149.054822,35.06476339,22690,0,0,2
"61",0,49,NA,30.98908093,33710,34351,2,2
"62",0,46,79538.16377,12.92016393,14050,0,0,2
"63",0,45,185836.4992,28.17554557,10250,4307,3,6
"64",0,46,NA,22.06663021,33320,0,0,1
"65",0,45,61931.02654,30.08519957,10910,25106,2,0
"66",0,63,74426.19439,11.15301472,27600,0,0,0
"67",0,44,74721.8442,8.965940108,23640,0,0,0
"68",1,45,102393.1799,24.86796984,1500,0,0,2
"69",0,48,0,49.73257123,8660,8363,2,3
"70",1,37,NA,43.0202791,5200,2718,1,1
"73",0,49,0,41.9232013,6400,9115,1,6
"74",0,44,139330.446,35.26603497,22050,0,0,0
"75",0,50,163295.6399,42.13917325,22830,0,0,0
"77",0,54,71006.605,60.90405748,14000,0,0,0
"79",0,53,41199.06904,21.49190132,15360,0,0,0
"82",0,55,45787.3631,5,19380,0,0,0
"84",0,56,38240.15672,28.48202879,16220,0,0,0
"86",1,34,0,24.52000126,11740,1800,2,2
"87",0,36,105384.2667,23.9167612,13800,31695,3,4
"89",1,46,NA,16.52232683,23350,4678,3,6
"91",0,38,7527.931959,25.5272974,8080,0,0,0
"94",0,42,32796.57088,63.21937724,21690,0,0,2
"95",1,47,44705.21281,50.0889763,12840,1533,2,0
"96",0,52,68992.00528,35.6494128,15120,0,0,3
"97",0,43,132560.8502,8.183487702,30150,12294,1,0
"98",0,66,96829.72411,23.41662386,11180,0,0,0
"99",1,52,64013.81632,32.71723445,7900,8882,3,1
"100",0,38,NA,40.17564432,7050,0,0,0
"101",0,47,NA,47.83078842,21320,0,0,0
"103",0,47,45257.20732,32.66854833,29210,0,0,0
"104",0,61,41857.20309,34.86158222,20870,0,0,0
"106",0,40,75516.3361,52.87912779,13050,0,0,0
"108",0,58,150352.4622,21.01265924,24240,0,0,0
"109",1,38,37579.71165,35.81813031,5260,867,2,0
"110",1,41,23344.16706,9.92626961,7930,0,0,1
"111",0,37,43289.7913,29.45506812,23640,0,0,0
"112",0,48,48737.21225,23.88800234,11220,0,0,1
"114",0,41,12541.07726,5,7500,0,0,0
"120",1,43,76158.64499,52.42306084,19750,0,0,0
"121",0,62,107734.3505,53.90578607,18470,0,0,0
"122",1,42,0,46.93284039,5700,0,0,5
"124",0,47,18548.73653,23.98627811,12800,0,0,0
"125",0,50,NA,10.95329756,17300,0,0,0
"126",0,51,50165.6137,32.44100984,11620,50701,3,0
"127",0,46,73871.57578,42.80273848,20240,0,0,0
"129",1,43,49848.95817,35.02097056,13130,3622,3,4
"130",1,39,12054.36967,28.06624321,15760,1738,2,4
"131",0,43,48184.26337,50.49990419,14530,6891,2,5
"132",1,60,78935.92347,39.87329963,20350,0,0,0
"134",0,40,78913.72634,36.40559138,5500,6803,2,6
"135",0,39,77125.02002,48.96256934,9570,0,0,1
"136",0,38,25835.16735,28.7139825,8490,0,0,1
"137",0,42,47659.98041,31.29925015,11940,974,2,6
"138",0,42,123142.9316,16.19234791,24930,0,0,3
"139",0,49,22059.27854,24.2988889,21990,0,0,1
"140",0,36,50749.5356,25.9345571,10170,5877,3,7
"141",0,34,23570.52302,35.147684,12180,0,0,0
"142",0,49,0,28.51518502,18110,0,0,1
"144",0,50,129234.3489,37.1680983,21200,0,0,0
"145",0,53,NA,16.38264307,11650,6175,1,2
"147",0,40,48066.65733,21.44176508,18120,0,0,0
"149",0,80,97715.97312,14.49824113,15920,0,0,2
"151",0,37,NA,69.41793607,14130,0,0,1
"152",0,40,49780.04539,52.31867158,10500,0,0,0
"153",0,45,60845.01545,31.48185786,24260,0,0,0
"154",1,42,136343.7947,45.25904589,13160,0,0,0
"156",0,45,23773.03765,8.984425864,34510,0,0,0
"157",0,52,115713.1043,28.39103956,21660,0,0,0
"158",0,41,55363.53714,16.8973851,31390,0,0,3
"159",0,36,27693.23803,36.6696728,11300,19385,1,4
"160",0,56,0,28.78950467,27890,25147,2,0
"161",0,53,0,34.21803765,1500,1175,3,2
"162",1,39,32936.11043,12.40616516,1500,0,0,0
"163",0,38,33151.05452,30.61083785,11530,0,0,0
"164",1,45,0,36.22025164,16510,17445,3,0
"166",0,43,32545.94945,49.21349874,5800,0,0,1
"167",0,54,0,21.26547537,18820,5537,1,6
"169",0,61,58211.97706,36.91814263,13420,3573,3,3
"174",0,39,59684.98779,42.07385528,7470,0,0,0
"175",0,38,90646.77516,37.78091412,13740,8450,1,0
"176",1,42,43173.63322,48.4305554,10020,0,0,0
"177",1,31,30652.9423,41.19071361,12930,35666,2,0
"178",0,41,0,17.54920171,32090,0,0,0
"179",1,36,NA,54.38495068,1500,0,0,5
"180",0,49,59147.77361,18.35147418,12310,8948,1,0
"181",0,47,81898.57335,24.55379028,14390,0,0,0
"182",0,45,1158.498445,9.919159803,6120,0,0,0
"183",0,53,114087.6818,25.45792738,22920,0,0,0
"185",0,51,94327.99097,43.63287841,6900,0,0,0
"186",1,36,49703.42492,37.3219695,42550,35879,1,0
"187",0,43,NA,54.93973501,8160,6836,3,0
"188",0,43,NA,32.24800747,13160,8569,3,3
"189",1,53,25288.54263,30.84344493,13850,0,0,0
"190",0,40,95404.93071,33.70012836,24220,0,0,3
"191",1,31,26112.39632,57.76677153,14030,0,0,0
"192",1,58,131560.1593,39.97785846,14870,0,0,2
"193",0,50,90566.27552,39.95403403,23260,0,0,0
"195",0,46,108700.8457,38.68921609,12070,0,0,0
"196",0,47,94774.17109,43.16699936,21070,3460,1,1
"197",0,43,72357.25266,40.13370127,23190,0,0,0
"198",0,48,140111.9034,46.958191,28380,0,0,2
"199",0,39,19016.16074,21.51077563,10950,0,0,0
"201",0,45,19909.00034,13.53693786,7990,0,0,0
"202",0,36,4885.353315,35.28262776,7080,5486,1,5
"203",1,59,119382.0809,25.97947826,24130,0,0,0
"204",0,60,89511.44434,5,11380,4470,3,0
"205",0,49,107374.6846,12.05092513,19840,0,0,0
"206",0,45,36946.59877,31.93032998,6200,0,0,0
"207",0,34,27580.77494,37.88165443,12250,0,0,6
"210",0,52,42255.02105,61.02031007,22280,0,0,1
"211",0,53,37645.59036,19.0287519,16020,7462,2,0
"212",0,57,NA,40.96650983,32530,0,0,2
"213",0,37,116042.8944,40.13667252,16800,0,0,3
"214",0,45,89478.81973,30.0916886,14950,0,0,0
"215",0,38,92916.87396,57.08889222,15120,722,3,0
"217",0,51,3672.688262,5,11180,0,0,0
"219",0,51,32159.0975,46.26503756,2600,0,0,2
"220",0,40,20125.66511,5.12660788,8260,0,0,0
"221",1,54,44781.81586,82.61145278,30260,0,0,0
"222",0,34,59828.23281,56.29495982,10880,0,0,0
"223",0,41,74022.36337,51.35570119,13000,4418,1,0
"224",0,36,80256.37859,8.992366484,14860,2592,4,1
"226",0,45,0,26.68838825,14300,9062,1,1
"227",1,45,30085.32061,43.69786089,7200,0,0,3
"230",1,44,32317.31421,68.37962907,22450,3738,1,8
"231",0,50,58762.34488,12.78300363,13320,5253,3,0
"233",0,40,48639.60942,18.94018652,10360,0,0,0
"234",0,57,78591.8779,42.05931494,15760,9462,3,0
"235",1,47,21281.93453,39.71076852,18150,6544,1,3
"236",1,64,61521.48327,40.50100216,7650,0,0,8
"237",1,34,105554.3537,75.2429745,5300,7504,2,2
"238",0,52,147665.5465,42.88046662,6700,0,0,0
"239",1,42,69290.2134,30.35428387,23900,1052,2,1
"240",1,NA,2954.141221,20.64757595,3100,10099,2,4
"241",0,54,105761.9779,5,17480,0,0,2
"242",0,42,79185.25349,27.60927048,13020,6689,1,5
"244",0,59,5005.456561,30.18274405,7500,0,0,0
"246",1,54,88667.79314,62.94943864,20090,10520,2,1
"247",1,50,2656.766602,63.34254361,10480,20452,2,2
"248",0,29,51121.65611,39.58253512,10470,19030,3,9
"249",1,57,NA,19.42590174,11650,10231,1,0
"250",0,43,97952.51384,42.94201193,27180,4784,2,4
"251",0,44,0,27.82088361,14190,35430,2,2
"252",0,38,83937.04812,28.28373575,13800,10851,2,0
"253",0,37,96188.22351,49.32156578,13340,0,0,1
"254",0,55,17819.63852,32.02297634,13340,6913,1,3
"255",0,51,62893.86166,83.52133225,5990,0,0,0
"256",1,42,68090.40983,44.83097562,11750,9261,1,3
"257",1,45,25031.76105,34.08976118,6100,5771,1,5
"258",1,54,52078.33629,51.04542646,23250,5039,1,4
"259",0,48,22632.63772,30.2589765,16730,0,0,0
"260",0,50,0,31.79080355,4980,0,0,0
"261",1,25,51544.43316,44.03149922,20630,7767,2,8
"263",1,29,73842.01449,24.50890014,22340,4769,1,4
"264",1,45,0,32.52587199,6000,41818,1,3
"265",0,37,NA,34.04258656,10370,663,2,0
"266",0,56,109520.6772,29.5874582,7100,0,0,2
"267",0,45,71968.92887,44.1016391,13060,0,0,0
"268",0,48,NA,43.3193189,24150,0,0,1
"269",0,52,37295.46108,27.87371424,6700,0,0,0
"270",0,40,50223.95648,15.74063563,13780,1937,2,6
"271",1,41,109957.3023,49.81881515,29470,0,0,1
"272",0,44,44141.32319,10.98058232,5900,7401,1,0
"273",0,54,30387.93186,24.11195939,16580,27130,2,0
"274",0,42,85751.96763,36.4886946,5700,0,0,2
"275",0,50,8344.7743,38.8683234,15330,0,0,0
"276",1,38,10485.50323,32.7837101,6350,5702,1,4
"277",0,36,33284.33978,67.60835674,14640,0,0,0
"278",1,62,33712.64957,25.89368779,23470,41913,3,0
"279",0,47,144956.8151,21.84470159,24120,0,0,4
"280",0,46,79317.13533,5,6100,4263,2,7
"281",0,42,64704.54913,46.40050996,22560,10375,4,6
"282",0,33,0,26.65366965,10160,8118,1,3
"284",1,45,94324.78284,55.31937696,6960,0,0,2
"285",0,55,72336.90345,27.69439304,22980,0,0,2
"289",0,57,51736.74884,56.22437609,17440,0,0,1
"290",1,64,38019.86017,10.5198066,28710,0,0,0
"291",1,32,60049.83017,30.74937401,11480,17493,4,2
"292",1,39,NA,15.62481718,22920,0,0,0
"293",0,37,97265.63341,20.8574339,14930,4048,2,0
"294",0,45,19792.76056,5,7980,0,0,0
"297",1,35,62036.46367,5,16370,3913,2,7
"298",1,64,40528.15278,53.51257132,11950,5137,1,6
"300",0,59,158702.9629,32.32799669,20540,0,0,0
"301",1,39,52949.62511,5.820145906,10210,0,0,0
"302",1,40,39599.57172,36.85122135,5460,4188,2,5
"303",0,43,67108.95157,37.68924383,8530,0,0,0
"304",0,48,75722.69041,37.44026096,7210,0,0,0
"305",0,48,0,46.55139604,6520,0,0,0
"306",0,60,NA,39.46428661,16780,4500,2,3
"307",0,59,186632.2171,34.55645286,21730,0,0,2
"308",0,43,97103.07113,16.84755087,17960,3575,1,4
"309",1,43,0,40.9560327,14240,0,0,1
"310",0,64,75165.65917,30.69692379,5010,4750,2,0
"312",1,54,10616.87423,13.74904287,7960,1079,2,2
"314",1,46,140765.7553,41.01699168,29220,0,0,1
"315",1,26,0,9.954558894,4100,11279,3,5
"316",1,43,46224.49025,45.40303109,11510,0,0,0
"317",0,43,91877.08671,5,26290,0,0,2
"319",0,45,0,35.55205535,26500,0,0,2
"320",1,46,31176.83129,40.73448114,25420,0,0,1
"321",0,47,28653.56275,21.55994918,9070,0,0,3
"323",0,55,45918.32359,51.80778161,11590,3614,2,0
"325",0,49,33321.50656,45.34889155,21320,36556,1,4
"326",0,30,NA,22.13575424,4500,0,0,0
"327",0,47,15249.00131,62.05075536,8400,0,0,1
"328",0,41,38033.57779,29.62633181,11300,5299,1,2
"329",0,49,95156.16222,70.45325429,9720,5645,3,0
"330",0,31,110403.8133,5,13710,0,0,2
"333",0,56,125795.2968,51.93737518,7100,0,0,0
"334",1,41,99959.15052,13.143433,18850,0,0,1
"336",0,57,33707.03155,40.08081079,27520,0,0,0
"337",1,37,0,18.46276367,1500,0,0,3
"338",1,49,28591.85173,31.45184383,9260,39892,3,6
"340",0,38,81447.11896,36.29783158,15820,0,0,0
"342",1,37,62426.39554,19.991359,11440,981,1,0
"343",1,25,40094.81041,37.88679535,22720,1992,2,6
"344",0,44,87072.18229,21.44148092,14820,0,0,0
"345",0,20,19932.76443,18.60590957,15400,4148,1,5
"346",1,40,52423.18082,29.80314055,7420,0,0,2
"347",1,32,76985.48661,36.50161617,19500,6762,1,4
"348",0,35,0,17.20275845,5000,0,0,0
"353",1,49,37356.3377,63.26903238,6400,7993,1,7
"354",0,48,0,24.64135036,6300,0,0,0
"357",1,48,52275.31157,56.57576803,14060,3868,1,3
"358",1,21,40021.78999,67.05299343,9360,0,0,0
"359",0,33,46452.58257,47.09861042,6150,0,0,1
"360",0,38,122491.5933,22.08613028,33250,0,0,4
"361",0,33,22899.06505,19.28742608,7090,0,0,0
"362",0,51,124550.3522,37.40500796,38290,0,0,1
"364",1,40,57062.78859,45.78509389,16250,0,0,0
"365",0,50,116402.8647,21.45574215,26520,2659,1,1
"367",0,39,0,45.92834725,5400,5338,3,5
"368",0,19,0,25.45706521,9100,5289,2,1
"369",0,49,40451.74747,24.87974178,21600,0,0,1
"371",0,43,176021.1741,34.66837722,29330,0,0,0
"372",0,48,43094.89244,38.81504565,10850,7219,3,3
"373",0,45,70982.35713,5,13660,0,0,2
"374",0,39,76150.1092,38.75371189,14010,0,0,5
"375",1,32,52468.59252,20.54139685,4700,0,0,1
"376",0,45,103086.7929,28.22667289,18230,0,0,1
"377",0,51,0,9.834962107,16180,0,0,0
"378",0,36,48709.54477,58.64718078,9970,18331,1,4
"379",1,72,27624.53579,31.75554627,18960,8571,1,8
"380",0,51,27940.35221,20.22599217,21010,4652,3,2
"381",0,39,54297.99726,20.97629163,14480,0,0,0
"382",0,34,88759.97761,55.90179367,20460,0,0,0
"383",0,45,45104.88668,36.51034561,17540,36562,3,4
"384",1,36,28326.29482,36.97470077,26280,39535,3,2
"385",0,32,17544.83924,45.62140393,8240,0,0,0
"386",0,57,159516.5777,43.14268917,23150,0,0,2
"387",0,47,28172.04705,27.33471861,13970,0,0,0
"388",0,36,60097.20498,40.36110102,28040,0,0,1
"389",0,43,19218.96549,52.80080884,10470,0,0,4
"393",1,63,26921.075,19.37071849,14360,30288,1,2
"394",1,45,13890.65717,46.84388067,7390,1546,2,4
"395",1,35,64487.8935,37.46849501,21820,1144,3,5
"396",0,60,163013.7754,35.0785142,23800,0,0,0
"397",0,51,72899.55874,39.3927392,6600,0,0,0
"398",0,43,0,30.48315613,19790,8251,3,1
"399",1,33,31675.21527,24.88144083,9130,32882,1,6
"400",0,37,6856.616814,34.80963243,12540,3452,1,1
"403",0,45,0,24.32568557,14750,0,0,0
"404",1,56,29523.52225,52.0080434,14250,0,0,1
"405",0,37,70494.99012,16.54521391,22790,39614,1,4
"407",0,46,27668.69794,45.29271791,8870,0,0,0
"408",0,43,68350.19565,35.53732835,22570,0,0,0
"409",0,64,76551.80949,26.34007571,7900,0,0,0
"410",0,46,57455.50635,31.63369353,12520,0,0,0
"411",0,39,173533.2114,35.77725814,25210,0,0,1
"412",0,69,69097.67036,56.70990295,15310,0,0,3
"413",0,44,65133.92533,14.8079985,12410,0,0,0
"414",0,44,93041.14203,22.85949284,15200,16255,2,1
"416",0,56,126700.2009,35.90858454,23980,0,0,4
"419",0,52,65464.8571,42.12189489,18760,5372,3,6
"420",0,46,56848.52261,52.94642167,6270,6418,2,2
"421",0,51,46201.12767,32.59754028,11220,0,0,0
"422",0,43,0,32.11421239,13160,10412,1,6
"423",0,52,125662.4251,20.63730015,22880,0,0,0
"425",0,47,18535.20054,47.1923419,11750,0,0,4
"426",0,44,29502.14935,30.20428174,28750,37130,1,2
"428",1,33,248.614532,30.16813294,10590,0,0,1
"429",1,41,24861.5349,26.08334263,7790,1055,4,2
"430",0,49,108748.3049,31.95001652,21520,0,0,1
"431",1,50,0,12.02530439,6500,0,0,0
"432",0,42,86595.92933,31.5729638,15280,0,0,0
"433",0,33,92903.60881,29.83045852,14060,0,0,0
"434",0,42,82281.01101,36.39152658,18530,14552,1,6
"435",1,41,NA,34.51305459,9170,0,0,0
"436",0,40,63400.1257,58.44871594,27080,0,0,0
"438",1,57,25761.0804,57.41842474,11940,4792,1,8
"439",1,42,49223.55665,28.56574637,27460,4546,3,0
"440",0,46,41083.45533,21.03252897,12810,2520,2,4
"441",0,52,70293.0431,34.00908712,33440,0,0,0
"442",0,38,34318.67565,48.0219959,13460,0,0,1
"443",1,43,22623.01291,14.80976136,8060,0,0,2
"444",0,54,19960.6062,36.4966574,3500,0,0,0
"446",0,56,277.9898343,57.79111333,26150,49641,2,0
"447",0,48,137411.0109,21.67380794,11940,0,0,0
"449",1,33,25544.2197,29.04603688,4050,3971,2,0
"451",0,48,116062.6372,48.28074433,8370,0,0,1
"452",0,33,0,41.34711951,11980,0,0,0
"453",0,53,16535.78049,24.21358155,3150,1335,2,0
"457",0,38,282292.3563,39.53365452,33530,0,0,4
"458",0,49,83568.98392,23.4539642,6500,44932,1,0
"459",1,39,NA,51.40503103,12880,0,0,0
"460",1,27,50138.52192,21.64869735,9210,1271,2,3
"461",0,48,74596.93836,24.54256147,15730,0,0,0
"462",1,47,92543.42733,51.6949148,25250,30450,2,4
"463",0,38,15754.92741,31.79915978,14440,1413,1,0
"464",0,46,5419.669539,28.76176031,12780,0,0,3
"465",0,50,109785.5403,35.24537451,9440,0,0,0
"466",0,24,23108.55056,34.07674415,6210,5876,1,2
"467",1,37,53895.28528,44.22753904,11250,0,0,0
"469",1,43,60972.96216,55.69961717,5800,0,0,1
"472",0,50,34702.57371,31.14078017,9970,651,3,2
"473",0,31,57016.94916,44.51596987,10870,0,0,0
"474",1,47,0,35.26903717,11610,19545,1,0
"475",1,42,14166.18683,36.07589012,23280,0,0,3
"476",0,44,66069.4575,19.49062381,22700,5117,2,3
"477",0,59,0,51.54130002,11480,0,0,2
"480",0,45,NA,10.77651081,14060,0,0,0
"481",0,58,0,28.62842099,7300,3485,3,8
"482",0,46,3928.746302,55.75026025,1500,0,0,2
"483",0,32,2269.526872,40.6582867,1730,0,0,1
"484",1,47,91221.1218,30.66670238,1500,5385,2,2
"486",1,44,146338.4425,21.2987556,22620,37211,3,3
"487",0,46,109874.3155,71.76926524,19450,0,0,2
"488",0,55,245497.6624,13.18432221,33790,7531,2,1
"490",0,43,33702.89851,5,19010,1159,3,0
"492",0,51,8900.089575,64.5194471,11600,0,0,1
"493",1,47,47235.48762,26.5337257,10920,9933,2,2
"494",0,52,27019.17478,58.6225178,9400,0,0,1
"496",0,67,2557.965155,41.2361573,1500,0,0,2
"497",0,43,30037.45023,5,11920,25664,3,3
"498",1,36,79456.91378,34.4256078,5100,0,0,1
"499",1,58,37991.26687,22.75832605,14000,0,0,2
"500",0,37,64020.39627,42.48743344,15620,0,0,1
"501",0,44,108412.3803,46.53149406,1500,7859,1,0
"505",0,44,92672.522,19.8668939,11020,0,0,2
"508",1,37,133335.0807,15.39811427,21740,975,2,6
"509",0,32,77221.77177,36.37759388,12420,0,0,2
"510",1,38,58832.76225,40.93108005,17680,0,0,2
"511",0,42,58796.68415,5,19980,1310,2,4
"512",0,42,32525.65444,37.59423728,20150,0,0,0
"513",0,44,13587.4165,43.05198157,7260,0,0,0
"514",0,46,NA,49.80246936,11700,0,0,0
"515",0,44,24196.7451,44.3568518,3920,0,0,2
"516",0,37,111183.4359,67.06697958,12420,0,0,0
"519",1,40,5252.670336,23.21106213,23600,0,0,0
"520",0,62,37017.67265,59.83263497,5200,0,0,0
"521",0,45,32721.82812,48.59411296,4770,0,0,1
"523",0,42,54178.41471,38.65008241,5700,0,0,1
"524",0,33,0,31.49975822,4900,1992,2,1
"525",0,43,45347.72679,15.54405812,10330,0,0,1
"526",0,43,45784.12698,79.45985301,14820,0,0,0
"527",0,47,114506.8501,26.9200926,6200,900,1,1
"529",0,50,NA,12.14853088,8300,1161,2,8
"530",0,48,70681.58887,24.65487336,13370,11976,2,5
"532",0,51,40862.24008,13.93320033,30800,3919,3,4
"533",0,32,63719.88792,20.90779933,18010,39833,2,6
"535",0,41,19815.94843,36.77161109,11590,0,0,0
"536",0,39,123063.7293,6.901670885,5400,0,0,2
"538",1,53,48586.88812,61.02031007,19300,4390,3,3
"539",0,48,27207.73692,64.2826294,10150,18535,1,3
"540",0,52,152003.6942,28.87658921,6700,0,0,0
"541",0,38,106266.9081,36.94618096,14810,0,0,0
"543",0,40,5252.670336,23.21106213,8140,0,0,3
"544",0,49,173242.3489,39.53606305,6400,0,0,0
"547",0,52,78608.71995,36.66042037,18910,0,0,0
"548",1,35,85429.5081,13.9205626,13540,8062,2,2
"550",0,56,134165.8436,45.14243005,20520,0,0,0
"553",0,30,40888.87077,28.09160711,29990,0,0,0
"554",1,62,33994.88198,41.73994653,7700,8002,3,4
"557",0,52,5108.908955,5,2010,0,0,0
"558",1,46,57933.49951,6.912595119,16620,0,0,0
"559",0,46,9536.857197,18.05609349,10760,5624,3,3
"560",1,24,94565.86351,33.73879564,3900,0,0,2
"561",1,55,NA,5,21270,2622,1,2
"562",0,33,39583.96811,40.18294769,10260,0,0,0
"564",0,49,76398.786,44.03355679,14040,32239,2,5
"565",0,52,57133.74165,40.81142296,8430,0,0,2
"566",1,60,NA,43.91583578,22780,8400,1,0
"567",0,30,53139.79813,16.47502088,6810,36267,1,0
"568",0,36,80765.3592,28.74606609,13840,0,0,1
"570",0,62,39952.99762,5,14740,8006,2,0
"572",0,46,49837.8066,15.07407784,11080,0,0,0
"573",1,30,75891.22482,33.07400781,4500,3919,1,1
"574",0,42,69465.18341,35.2514933,15770,0,0,0
"575",0,57,104256.8302,32.46262554,7650,0,0,0
"576",0,46,0,23.43881508,10080,0,0,0
"577",0,43,69651.4177,49.60952214,19210,0,0,0
"579",1,42,61995.27283,52.39047026,36080,0,0,3
"581",1,38,22938.40193,38.06497958,14170,9785,2,0
"582",0,56,29400.83937,43.48801248,18350,0,0,0
"583",0,43,NA,50.33345677,14080,0,0,0
"584",0,52,47417.41749,60.79043528,8840,0,0,0
"587",0,42,172119.0169,26.41867791,7580,0,0,0
"588",0,27,52335.20062,23.57925662,9430,0,0,0
"589",0,38,40179.59316,23.32579265,3320,0,0,0
"590",0,46,89656.57642,38.8874918,11070,0,0,1
"591",0,38,39337.9745,27.73954506,9230,0,0,0
"592",0,41,0,20.53686637,5600,4263,3,0
"593",1,41,50330.7155,23.03674082,18870,5581,2,7
"594",0,42,68984.14002,45.66864555,1500,0,0,4
"595",0,44,70913.74227,68.95092498,5900,0,0,0
"597",0,39,198319.7039,19.66637369,38910,0,0,1
"598",0,56,NA,12.78988951,29040,0,0,0
"600",0,50,5041.163862,5,13620,0,0,0
"601",0,56,84185.79359,45.09541186,15520,0,0,0
"602",1,36,0,61.66265217,2680,0,0,0
"603",0,31,2177.422269,23.8420907,13150,0,0,0
"604",0,40,55257.76553,37.23127443,13860,6474,2,3
"606",1,54,55741.92675,51.62320069,15810,9718,3,2
"607",1,54,81437.56477,39.27613904,15040,0,0,0
"608",0,40,45777.22388,78.4261419,16990,0,0,4
"609",0,38,98120.21891,21.95995179,16090,2982,3,2
"610",1,42,36230.1666,41.73513342,6480,9773,2,1
"611",0,43,37384.3635,51.13053926,9540,0,0,4
"612",0,41,36338.76678,40.42807439,25980,0,0,2
"613",0,45,77864.83682,14.48824241,27170,0,0,1
"615",0,53,63049.02775,40.44886899,13010,1402,1,6
"617",0,42,43444.08412,33.20604716,28060,0,0,1
"618",1,42,71686.13219,37.20946171,12870,5982,2,2
"619",0,41,0,60.18272155,5600,0,0,0
"620",0,39,46877.89006,27.28952613,13740,0,0,1
"621",0,27,78197.20523,11.689368,18040,0,0,0
"623",0,45,24178.29356,67.22486566,29790,9197,2,1
"624",0,43,44139.27712,40.443253,13910,0,0,0
"625",1,33,69641.49227,32.73011215,22680,1712,4,2
"626",0,48,81939.6843,5,17270,17691,1,6
"628",0,55,NA,39.62037325,33880,6822,2,3
"629",0,51,46380.93167,18.20658561,20130,0,0,0
"630",0,47,51624.24734,24.19585731,20500,0,0,0
"631",1,28,13409.69808,26.80644738,4500,5575,2,2
"632",0,51,61666.08976,34.33737068,20910,10147,1,4
"633",0,47,64246.46014,33.95706486,7200,10265,1,1
"634",0,40,31956.58925,29.16609199,19930,0,0,0
"635",1,30,13489.71715,5,5850,31401,3,1
"636",0,53,82265.5594,21.39190338,15030,0,0,1
"638",0,53,52018.66616,52.35767783,16940,32115,1,0
"639",0,43,2346.163923,25.19229056,24590,33218,3,0
"640",0,38,40342.078,5,8230,0,0,1
"641",0,41,78370.256,42.41294994,21340,0,0,0
"642",0,28,70028.99944,51.78528462,11300,0,0,0
"643",0,35,35906.89315,52.94179695,8590,1278,2,6
"644",0,51,37720.65454,23.08808897,11750,6281,2,1
"646",0,46,45109.33803,30.56190948,26780,0,0,1
"649",0,46,70307.22412,36.25955417,22210,6632,2,0
"650",0,47,NA,23.04333458,32020,37066,2,0
"651",0,55,39421.8487,31.91773657,18150,0,0,0
"652",1,50,87718.96424,20.06743682,9160,0,0,2
"654",1,40,32264.96978,46.49925246,8730,3979,1,7
"655",0,47,55820.91071,47.73625275,11780,7822,3,0
"656",0,37,98654.55105,14.74993375,11370,0,0,5
"658",0,44,NA,39.07174253,21960,0,0,0
