INDEX,TARGET_FLAG,TARGET_AMT,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,SEX,EDUCATION,JOB,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,URBANICITY
22,0,0,0,42,0,11,59944.8376931155,No,192207.436453624,Yes,M,Masters,Lawyer,42.3853886427293,Private,14190,6,Minivan,no,0,0,No,0,16,Highly Urban/ Urban
23,0,0,0,34,3,13,34019.4503713687,No,91875.186310123,Yes,z_F,Masters,Lawyer,27.3846685641318,Private,8300,7,z_SUV,no,0,0,No,0,20,Highly Urban/ Urban
24,0,0,0,31,2,12,18902.5024529482,No,93797.3890531038,Yes,z_F,<High School,Clerical,47.559634551196,Private,17330,4,Minivan,no,0,0,No,0,7,Highly Urban/ Urban
25,1,6857,0,28,1,13,44077.2889715424,No,170597.804597897,Yes,z_F,z_High School,z_Blue Collar,29.4802440403466,Commercial,8710,6,z_SUV,no,8935,2,No,0,1,Highly Urban/ Urban
26,1,3627,0,43,0,13,37214.2447896757,No, ,Yes,M,<High School,z_Blue Collar,52.3941081915219,Commercial,26560,1,Panel Truck,yes,0,0,No,3,1,Highly Urban/ Urban
27,0,0,0,48,0,14,96274.0197103485,No,282904.419699317,Yes,z_F,Masters,Lawyer,36.1809266975127,Private,11130,6,z_SUV,no,8250,1,No,5,14,Highly Urban/ Urban
28,0,0,0,47,0,11,46281.0035983954,No,0,z_No,z_F,<High School,z_Blue Collar,29.0128528524195,Private,19700,10,Minivan,no,0,0,No,1,5,Highly Urban/ Urban
29,0,0,2,44,2,0,0,No,82343.5475047809,Yes,z_F,z_High School,Home Maker,8.07327522346133,Private,5900,6,z_SUV,no,3338,3,No,0,11,Highly Urban/ Urban
32,0,0,0,33,1,13,79606.2444457661,No,225962.483214082,Yes,z_F,Bachelors,Professional,27.0005483574519,Private,16830,9,z_SUV,no,0,0,No,2,15,z_Highly Rural/ Rural
33,1,4486,0,32,1,9,31274.7235220485,No,118160.478604322,Yes,z_F,z_High School,Clerical,26.3929608324561,Private,10030,1,z_SUV,no,0,0,No,0,1,Highly Urban/ Urban
34,0,0,1,44,2,17,45488.1462525799,No,219378.058664497,Yes,M,Bachelors,Manager,15.8395488290133,Private,22090,17,Minivan,no,0,0,No,0,12,Highly Urban/ Urban
35,0,0,0,35,0,8,72192.6668969611,No,0,z_No,z_F,Bachelors,Clerical,25.9873128367113,Private,12220,6,z_SUV,no,0,0,No,3,12,Highly Urban/ Urban
36,0,0,0,40,2,0, ,No,98777.4204931832,Yes,z_F,Masters,Home Maker,15.1094765023643,Private,14130,6,z_SUV,no,38127,2,Yes,4,12,z_Highly Rural/ Rural
38,0,0,0,49,0,5,49243.568639066,No,163444.486685577,Yes,M,Bachelors,Clerical,30.1301199111812,Private,15880,1,Minivan,no,0,0,No,1,1,Highly Urban/ Urban
40,0,0,0,52,0,8,51277.5289309518,No,230339.538624091,Yes,z_F,Bachelors,Professional,36.9178213311227,Private,1500,4,z_SUV,no,0,0,No,1,10,Highly Urban/ Urban
41,0,0,0,41,0,7,92842.3546599215,No,286113.480388763,z_No,M,Masters, ,12.3775710497762,Commercial,25810,6,Panel Truck,no,1431,2,No,5,15,Highly Urban/ Urban
42,0,0,0,39,0,10,35081.4221969296,No,202839.486298967,Yes,M,Bachelors,z_Blue Collar,37.8272322450593,Commercial,16640,4,Van,yes,0,0,No,0,13,Highly Urban/ Urban
43,0,0,0,56,0,0,0,No,63826.5272345361,Yes,z_F,PhD,Home Maker,64.9990987808541,Private,13220,1,Minivan,no,0,0,No,0,12,z_Highly Rural/ Rural
44,0,0,0,49,0,12,115044.355525483,No,311980.123028547,z_No,z_F,PhD,Doctor,17.7350823886867,Private,17900,1,Minivan,no,0,0,No,0,14,Highly Urban/ Urban
45,0,0,0,38,0,11,37753.5731293903,No,138822.851139898,Yes,z_F,z_High School,Clerical,46.6813410861113,Private,12080,1,z_SUV,no,0,0,No,2,9,z_Highly Rural/ Rural
46,0,0,0,43,2,17,145352.951776005,No,418785.231926351,Yes,z_F,Masters, ,37.8675115208697,Commercial,29450,6,Van,no,0,0,No,0,15,Highly Urban/ Urban
48,0,0,0,63,0,15,121398.264220481,No,343409.95395192,Yes,z_F,PhD,Doctor,10.1405818737715,Private,16270,1,z_SUV,no,0,0,No,0,11,Highly Urban/ Urban
49,0,0,0,52,0,0,0,No,87925.391237889,z_No,z_F,z_High School,Student,48.0740963037295,Commercial,9280,1,z_SUV,no,0,0,No,1,6,z_Highly Rural/ Rural
50,0,0,0,35,0,7,14508.1363679094,No,0,Yes,M,Bachelors,Student,22.0422692946705,Commercial,6450,1,Pickup,no,0,0,No,0,7,Highly Urban/ Urban
51,0,0,0,43,0,13,75337.9405895562,No,270555.334680471,Yes,z_F,Bachelors,Manager,40.232021247374,Private,23080,1,Sports Car,no,0,0,No,0,8,Highly Urban/ Urban
52,0,0,0,41,0,10,32773.6430659314,No,0,z_No,z_F,z_High School,Clerical,43.7766978726787,Private,20120,4,Minivan,no,0,0,No,0,1,z_Highly Rural/ Rural
53,0,0,0,40,0,11,57474.0887154225,No,186417.739494925,Yes,M,Bachelors,Clerical,5,Commercial,29270,4,Panel Truck,yes,0,0,No,1,5,Highly Urban/ Urban
54,0,0,0,31,1,12,26519.9758623494,No,154493.40306137,Yes,M,Bachelors,Student,62.2563513389371,Commercial,4600,6,Minivan,yes,0,0,No,2,5,Highly Urban/ Urban
55,0,0,0,47,0,8,18444.1633189027,No,0,Yes,z_F,z_High School,Student,34.6785055755734,Commercial,19450,6,z_SUV,no,2981,2,No,5, ,Highly Urban/ Urban
56,0,0,0,53,0, ,107259.314811121,No,343699.724778567,Yes,M,Masters,Professional,36.155966061601,Private,29230,10,Minivan,yes,0,0,No,0,15,Highly Urban/ Urban
57,0,0,0,39,3,7,34046.3781356261,No,183383.216290869,Yes,z_F,z_High School,Clerical,33.303156051479,Private,4040,6,z_SUV,no,0,0,No,0,5,z_Highly Rural/ Rural
58,0,0,0,33,3,14,32364.4614584684,No,152893.722399139,Yes,M,<High School,Clerical,39.9309052239101,Private,12270,18,Minivan,yes,0,0,No,3,1,Highly Urban/ Urban
59,0,0,0,59,0,5,106775.488456465,No, ,z_No,M,Masters,Lawyer,10.4866247393933,Private,31930,1,Minivan,yes,0,0,No,0, ,Highly Urban/ Urban
61,1,6100,0,40,0,11,16988.7213530104,No,0,z_No,M,<High School,z_Blue Collar,20.4500158250404,Commercial,12230,4,Pickup,yes,26104,1,Yes,13,6,Highly Urban/ Urban
65,1,8840.68356825384,0,44,2,15,16352.0293105013,No,134163.638236303,Yes,z_F,z_High School,Home Maker,36.7948553924897,Private,10520,1,z_SUV,no,7838,1,No,1,1,Highly Urban/ Urban
66,0,0,0,56,0,16,44760.1735642332,No,164851.865728639,Yes,M,Bachelors,Manager,30.0833779564841,Private,21770,13,Minivan,yes,0,0,No,0,6,Highly Urban/ Urban
67,1,2117,1,45,1,14,63952.1776635953,No,196367.829886442,Yes,z_F,Masters,Lawyer,49.5768946818594,Private,32340,6,Van,no,27877,2,Yes,0,13,Highly Urban/ Urban
69,0,0,0,48,0, , ,No,252896.307282336,Yes,M,Bachelors,Professional,14.4720299262296,Commercial,28560,13,Panel Truck,yes,1554,5,No,1,10,Highly Urban/ Urban
70,1,3532,1,44,2, ,24059.721569335,Yes,0,z_No,M,Bachelors,Clerical,24.4301981046087,Private,14220,4,Minivan,no,0,0,No,0,10,Highly Urban/ Urban
71,1,866,0,33,4,12,20821.846302905,No,76022.3885317494,Yes,z_F,z_High School,Home Maker,45.9077127665424,Private,6880,13,z_SUV,no,7896,3,No,0,1,Highly Urban/ Urban
72,0,0,0,32,3,14,54968.0611451713,No,146784.128816216,Yes,z_F,z_High School,Professional,20.0831502914824,Private,10040,4,z_SUV,no,0,0,Yes,0,8,Highly Urban/ Urban
73,1,7786,0,34,0,8,14193.6481787688,No,87033.7869788439,z_No,z_F,<High School,Clerical,13.3672384885311,Private,2920,4,Sports Car,no,24767,3,Yes,2,10,Highly Urban/ Urban
74,0,0,1,38,4,12,2149.05482185397,No,72888.5986912493,Yes,z_F,<High School,Home Maker,35.0647633936394,Private,22690,10,Pickup,no,0,0,No,2,1,Highly Urban/ Urban
77,1,4148,2,43,3,11,137102.734181214,Yes,0,z_No,z_F,Masters,Manager,28.8003570087211,Private,19510,1,Sports Car,no,8890,3,No,0,15,Highly Urban/ Urban
78,0,0,0,49,0,9, ,No,0,z_No,M,PhD, ,30.9890809252928,Commercial,33710,3,Panel Truck,no,34351,2,Yes,2,18,Highly Urban/ Urban
79,0,0,0,46,0,10,79538.1637723443,No,0,z_No,z_F,Bachelors,Manager,12.9201639263024,Private,14050,3,Minivan,no,0,0,Yes,2,11,Highly Urban/ Urban
80,0,0,0,45,1,11,185836.499220534,No,509114.65020752,Yes,z_F,PhD,Lawyer,28.1755455650412,Private,10250,1,z_SUV,no,4307,3,No,6,20,Highly Urban/ Urban
81,0,0,0,46,0,14, ,No,397660.523935887,z_No,M,Masters, ,22.0666302130723,Commercial,33320,4,Panel Truck,yes,0,0,Yes,1,12,Highly Urban/ Urban
82,0,0,0,45,0,11,61931.0265363942,No,213530.304257351,Yes,M,Masters, ,30.0851995708787,Commercial,10910,13,Pickup,yes,25106,2,No,0, ,Highly Urban/ Urban
84,0,0,0,63,0,9,74426.1943871395,No,0,z_No,z_F,PhD,Doctor,11.1530147170735,Private,27600,1,z_SUV,no,0,0,No,0,18,Highly Urban/ Urban
85,0,0,0,44,0,9,74721.8442012434,No,231033.884891031,Yes,z_F,Bachelors,Professional,8.96594010802365,Private,23640,6,Minivan,no,0,0,No,0,1,Highly Urban/ Urban
86,1,2371,1,45,2,11,102393.179879308,Yes,0,z_No,M,Bachelors,Professional,24.8679698404235,Private,1500,1,Minivan,yes,0,0,No,2,11,Highly Urban/ Urban
88,0,0,0,48,0,0,0,No,98919.6031873424,Yes,z_F,z_High School,Home Maker,49.732571233057,Private,8660,3,Sports Car,no,8363,2,No,3, ,Highly Urban/ Urban
89,1,4804,1,37,2,12, ,No,205211.453883869,Yes,z_F,Bachelors,z_Blue Collar,43.0202791023368,Commercial,5200,1,z_SUV,no,2718,1,No,1,3,Highly Urban/ Urban
90,0,0,0,35,0, ,29370.7230609417,No,0,z_No,z_F,<High School,Clerical,48.5197334805645,Private,4860,10,Sports Car,no,0,0,No,0,1,Highly Urban/ Urban
91,1,1354,0,48,0,12,31773.1039614925,No,165090.296410735,Yes,M,z_High School,Clerical,14.4593232822555,Commercial,9640,13,Pickup,no,1212,1,No,4,1,Highly Urban/ Urban
93,0,0,0,49,0,0,0,No,159389.127581842,Yes,z_F,Masters,Professional,41.923201295352,Private,6400,10,z_SUV,no,9115,1,No,6,14,Highly Urban/ Urban
94,0,0,0,44,2,15,139330.445962757,Yes,316899.60601372,z_No,z_F,z_High School,z_Blue Collar,35.266034965678,Commercial,22050,10,Sports Car,no,0,0,No,0,1,z_Highly Rural/ Rural
95,0,0,0,50,0,13,163295.639854734,No,447616.286875787,z_No,z_F,PhD,Lawyer,42.1391732513909,Private,22830,1,Minivan,no,0,0,No,0,14,z_Highly Rural/ Rural
96,0,0,0,30,1,10,17454.5726638191,Yes,140978.265075138,z_No,z_F,<High School,z_Blue Collar,49.5260451833499,Private,12380,13,Minivan,no,0,0,No,0,6,z_Highly Rural/ Rural
97,0,0,0,54,0, ,71006.605003066,No,240833.254216038,Yes,M,Bachelors,Manager,60.9040574771959,Private,14000,6,Minivan,no,0,0,No,0,11,Highly Urban/ Urban
99,1,2425,0,53,0,6,38035.5834729644,No,153380.552326357,Yes,z_F,z_High School,z_Blue Collar,32.1802850477982,Commercial,13140,1,z_SUV,no,0,0,No,4,1,Highly Urban/ Urban
100,0,0,0,53,0,13,41199.0690428593,No,150932.658727922,z_No,z_F,Bachelors,Manager,21.4919013214457,Private,15360,1,z_SUV,no,0,0,No,0,8,Highly Urban/ Urban
101,0,0,0,29,1,10,38042.3739880995,Yes,202967.20333361,z_No,M,z_High School,Professional,14.8735801342469,Private,15160,6,Minivan,no,0,0,No,0,1,Highly Urban/ Urban
102,0,0,0,58,0,11,91222.9194941183,No,0,z_No,M,Masters,Lawyer,23.098263571485,Private,10620,6,Pickup,no,0,0,No,0, ,Highly Urban/ Urban
103,0,0,0,55,0,7,45787.3631006525,No,173196.041246445,Yes,z_F,Masters,Lawyer,5,Private,19380,6,Minivan,no,0,0,No,0,13,Highly Urban/ Urban
104,0,0,0,55,0, ,84963.8474110805,No,227090.564536348,Yes,M,Bachelors,z_Blue Collar,20.784610812754,Commercial,5760,1,Pickup,yes,969,2,No,6,11,Highly Urban/ Urban
105,0,0,0,56,0,8,38240.1567208355,No,190674.982385577,Yes,z_F,z_High School,Clerical,28.4820287852658,Private,16220,4,z_SUV,no,0,0,No,0, ,z_Highly Rural/ Rural
108,0,0,0,34,0,11,51565.4608053037,No,0,z_No,M,Masters,Lawyer,36.4510457520009,Private,18110,1,Van,yes,759,2,No,3,15,Highly Urban/ Urban
109,1,5711,0,34,3,0,0,No,66358.2991330047,Yes,z_F,z_High School,Home Maker,24.5200012643388,Private,11740,9,z_SUV,no,1800,2,No,2,1,Highly Urban/ Urban
110,0,0,0,36,0,11,105384.266679273,No,267508.962351418,Yes,M,Masters,Professional,23.9167612035205,Private,13800,7,Minivan,yes,31695,3,Yes,4,17,Highly Urban/ Urban
111,1,13105.3276263444,0,41,0,10,66265.3521011129,No,159276.147040342,Yes,M,Masters,Lawyer,58.5474555205261,Private,12230,4,Minivan,yes,0,0,No,1,9,Highly Urban/ Urban
112,1,4061,0,46,0,7, ,No, ,z_No,M,Masters, ,16.5223268292437,Commercial,23350,13,Panel Truck,yes,4678,3,No,6,17,Highly Urban/ Urban
114,0,0,0,42,0,9,76225.7822108368,No,217920.489508498,Yes,M,Bachelors,z_Blue Collar,17.9620414685764,Commercial,23390,13,Panel Truck,yes,0,0,No,0,14,Highly Urban/ Urban
115,0,0,1,38,3,16,7527.93195930912,No,113808.761673056,Yes,M,<High School,Clerical,25.5272974001181,Private,8080,1,Pickup,yes,0,0,No,0,8,z_Highly Rural/ Rural
116,1,7838,0,33,4,0,0,Yes,0,z_No,M,z_High School,Student,13.6628595704618,Commercial,15090,1,Minivan,yes,1631,1,No,2,5,Highly Urban/ Urban
117,1,3660,0,37,0,0, ,No,73889.9762381871,Yes,z_F,Bachelors,Student,48.143336353992,Commercial,12850,7,z_SUV,no,0,0,No,3,6,Highly Urban/ Urban
118,0,0,1,42,1,9,32796.5708784234,No,160661.401224044,Yes,z_F,Masters,Lawyer,63.2193772382274,Private,21690,1,Minivan,no,0,0,No,2,14,Highly Urban/ Urban
119,1,5125,0,47,0,11,44705.2128117613,No,217885.094801663,Yes,z_F,Bachelors,Professional,50.0889763039761,Private,12840,1,z_SUV,no,1533,2,No,0,10,Highly Urban/ Urban
121,0,0,0,52,0,9,68992.0052783158,No,216986.075695576,z_No,z_F,Bachelors,z_Blue Collar,35.6494128049056,Commercial,15120,1,Minivan,no,0,0,No,3,10,z_Highly Rural/ Rural
122,0,0,0,43,0,11,132560.850245166,No,314432.757531488,z_No,M,Masters,Professional,8.18348770213323,Commercial,30150,16,Panel Truck,no,12294,1,No,0,1,Highly Urban/ Urban
124,0,0,0,66,1,17,96829.7241132724,No,325825.727795595,Yes,M,Masters,Professional,23.4166238614563,Private,11180,7,z_SUV,no,0,0,No,0,16,Highly Urban/ Urban
127,1,2143,0,52,0,7,64013.8163159108,No,244862.522147894,Yes,M,<High School,z_Blue Collar,32.7172344451336,Commercial,7900,4,Pickup,yes,8882,3,No,1,5,Highly Urban/ Urban
130,0,0,1,38,1,7, ,No,0,Yes,z_F,z_High School,Student,40.1756443227596,Private,7050,4,Sports Car,no,0,0,No,0,10,z_Highly Rural/ Rural
132,0,0,0,47,0,14, ,No,276240.849413135,Yes,M,Bachelors,Manager,47.8307884163705,Private,21320,1,Van,yes,0,0,No,0,13,Highly Urban/ Urban
133,0,0,0,37,0,12,123519.640093649,No,383730.716675629,Yes,M,Bachelors,z_Blue Collar,14.3643913639926,Commercial,17550,1,Van,no,0,0,No,0, ,Highly Urban/ Urban
134,0,0,0,47,0,13,45257.2073175956,No,160051.129735585,Yes,M,Bachelors,Clerical,32.6685483341211,Commercial,29210,6,Panel Truck,yes,0,0,No,0, ,Highly Urban/ Urban
136,0,0,1,61,2,17,41857.2030907047,No,169015.156786666,Yes,z_F,Masters,Manager,34.8615822232951,Private,20870,1,Sports Car,no,0,0,No,0,21,Highly Urban/ Urban
137,1,2114,0,41,1,8,126468.265006506,Yes,0,z_No,z_F,Masters,Manager,34.4945629442751,Commercial,32690,3,Pickup,no,0,0,No,2,18,Highly Urban/ Urban
138,0,0,3,40,3,9,75516.3361046341,No,247672.797471118,Yes,z_F,z_High School,z_Blue Collar,52.8791277855737,Commercial,13050,5,Sports Car,no,0,0,Yes,0,6,z_Highly Rural/ Rural
139,0,0,0,52,0,16,76953.9022711721,No,249289.566050386,z_No,M,Bachelors,Professional,43.7195412138582,Private,19540,6,Minivan,yes,0,0,Yes,0,11,Highly Urban/ Urban
140,0,0,0,58,1,8,150352.462173504,No,421665.241970475,Yes,z_F,Masters,Manager,21.0126592357288,Private,24240,6,Pickup,no,0,0,No,0,17,Highly Urban/ Urban
142,1,8671,1,38,1,12,37579.7116479978,No,173495.322104186,Yes,z_F,<High School,Clerical,35.8181303057574,Private,5260,7,z_SUV,no,867,2,No,0,1,Highly Urban/ Urban
143,1,6287,0,41,2,15,23344.1670564015,No,147172.155269212,Yes,M,z_High School,z_Blue Collar,9.92626960980526,Private,7930,1,Pickup,no,0,0,No,1,1,Highly Urban/ Urban
144,0,0,0,37,0,16,43289.7913023484,No,158771.372378285,Yes,z_F,Bachelors,z_Blue Collar,29.4550681248901,Private,23640,1,z_SUV,no,0,0,No,0,10,Highly Urban/ Urban
145,0,0,0,48,0,10,48737.2122512749,No,220263.78483938,Yes,M,Bachelors,Manager,23.8880023356288,Private,11220,9,Pickup,yes,0,0,No,1,1,Highly Urban/ Urban
146,0,0,0,47,0,12,64259.482558722,No,202031.38887309,Yes,M,z_High School,Clerical,25.5742036550828,Private,25100,18,Minivan,no,9526,4,No,3,9,Highly Urban/ Urban
149,0,0,0,41,0,6,12541.0772594846,No,0,z_No,M,<High School,Clerical,5,Private,7500,1,Minivan,yes,0,0,No,0,1,z_Highly Rural/ Rural
150,0,0,0,47,0,12,104270.511104313,No,265153.267009007,Yes,M,Masters, ,40.1987282815182,Commercial,36120,4,Panel Truck,yes,0,0,No,0,11,Highly Urban/ Urban
152,0,0,0,44,1, ,67277.9576228925,No,220555.740085132,Yes,z_F,Masters,Lawyer,49.3576651418648,Private,20210,1,Minivan,no,0,0,No,0,16,z_Highly Rural/ Rural
153,0,0,0,46,0,10,104990.111427535,No,306539.647645801,z_No,z_F,Bachelors,Professional,39.941948766585,Private,16080,13,z_SUV,no,0,0,No,0,7,Highly Urban/ Urban
154,0,0,0,49,0,6,89947.9948379964,No,0,z_No,z_F,Bachelors,Professional,36.9214354025722,Private,18160,7,z_SUV,no,0,0,No,4,9,Highly Urban/ Urban
155,0,0,0,33,1,12,111426.946597974,No,321483.062074667,Yes,z_F,Masters, ,34.8686957534672,Commercial,28180,1,Van,no,0,0,No,3,4,Highly Urban/ Urban
158,1,1807,1,43,2,11,76158.644992453,Yes,0,z_No,z_F,Bachelors,Professional,52.4230608361424,Private,19750,4,z_SUV,no,0,0,Yes,0, ,Highly Urban/ Urban
159,0,0,0,62,0,6,107734.350549481,No,0,z_No,z_F,PhD,Lawyer,53.9057860701344,Private,18470,3,z_SUV,no,0,0,No,0,15,Highly Urban/ Urban
160,1,10593.9466329068,0,42,0,0,0,No, ,z_No,M,<High School,Student,46.9328403871992,Commercial,5700,11,Pickup,yes,0,0,No,5,1,Highly Urban/ Urban
161,0,0,0,36,2,12,25282.1759703789,Yes,0,z_No,z_F,z_High School,Clerical,37.6427634527658,Private,11160,1,z_SUV,no,0,0,No,0,1,z_Highly Rural/ Rural
162,0,0,0,47,0,11,18548.7365278328,No,116136.278359775,Yes,M,Masters,Lawyer,23.9862781066952,Private,12800,7,Minivan,no,0,0,No,0,14,Highly Urban/ Urban
163,0,0,0,50,0,14, ,No,147191.336245634,Yes,M,z_High School,Clerical,10.953297563688,Commercial,17300,13,Van,yes,0,0,No,0,7,Highly Urban/ Urban
164,0,0,0,51,0,9,50165.6136950499,No,187296.864338247,z_No,M,z_High School,z_Blue Collar,32.441009838385,Commercial,11620,1,Pickup,no,50701,3,Yes,0,1,Highly Urban/ Urban
165,0,0,0,46,0,8,73871.5757849306,No,245877.501265338,Yes,z_F,Masters,Lawyer,42.8027384843471,Private,20240,4,Sports Car,no,0,0,No,0,16,z_Highly Rural/ Rural
166,0,0,0,50,0,14,73343.0373268599,No,254599.825237731,Yes,z_F,z_High School,Manager,59.8255100150564,Private,20010,1,Minivan,no,4179,2,No,4,8,Highly Urban/ Urban
167,1,6158,0,43,2,15,49848.958167982,Yes,0,z_No,z_F,Masters,Lawyer,35.0209705588995,Private,13130,1,z_SUV,no,3622,3,No,4,20,Highly Urban/ Urban
168,1,4887,1,39,1,16,12054.3696717873,No,0,Yes,z_F,<High School,Student,28.0662432090372,Commercial,15760,4,Pickup,no,1738,2,Yes,4,1,Highly Urban/ Urban
169,0,0,0,43,3,14,48184.2633746684,No,209188.2651529,Yes,z_F,z_High School,z_Blue Collar,50.4999041860832,Commercial,14530,12,Sports Car,no,6891,2,No,5,1,Highly Urban/ Urban
170,1,5147,0,60,3,18,78935.9234655557,No,235670.331808587,Yes,z_F,Masters,Lawyer,39.8732996279351,Private,20350,6,z_SUV,no,0,0,No,0,15,Highly Urban/ Urban
171,0,0,0,55,0,0,0,No,0,z_No,M,<High School,Student,33.1479079622941,Private,7000,4,Pickup,no,0,0,No,0,1,z_Highly Rural/ Rural
172,0,0,0,40,0,10,78913.7263421776,No,229054.532481335,z_No,z_F,Bachelors,Manager,36.4055913836085,Private,5500,10,z_SUV,no,6803,2,No,6,10,Highly Urban/ Urban
173,0,0,0,39,0,6,77125.0200160856,No,210839.931852181,Yes,z_F,Bachelors,Clerical,48.9625693374359,Private,9570,7,Sports Car,no,0,0,No,1,13,Highly Urban/ Urban
175,0,0,0,38,0,14,25835.167345254,No,109685.391845781,Yes,M,z_High School,Clerical,28.713982504573,Private,8490,6,Pickup,yes,0,0,No,1,12,Highly Urban/ Urban
176,0,0,0,42,0,12,47659.9804125772,No,180205.541404231,Yes,M,Masters,Professional,31.2992501548325,Private,11940,7,Pickup,yes,974,2,No,6,18,Highly Urban/ Urban
177,0,0,0,42,0,10,123142.931587738,No,306368.262589866,z_No,z_F,Masters,Manager,16.1923479129187,Private,24930,4,Minivan,no,0,0,No,3,14,Highly Urban/ Urban
178,0,0,0,49,0,8,22059.2785399754,No,123924.361885358,Yes,z_F,<High School,Clerical,24.2988889046733,Commercial,21990,11,Pickup,no,0,0,No,1,1,Highly Urban/ Urban
179,0,0,1,36,1,12,50749.5356019323,Yes,0,z_No,z_F,Masters,Manager,25.9345570964399,Private,10170,7,z_SUV,no,5877,3,No,7,14,Highly Urban/ Urban
180,0,0,0,34,1,10,23570.5230208237,Yes,0,z_No,M,z_High School,Clerical,35.1476840045881,Commercial,12180,7,Pickup,yes,0,0,No,0,7,Highly Urban/ Urban
181,0,0,0,49,0,0,0,No,79912.8228743725,Yes,z_F,PhD,Home Maker,28.5151850177191,Private,18110,7,z_SUV,no,0,0,No,1,1,Highly Urban/ Urban
182,0,0,0,52,0,12,35630.7552212082,No,155971.688041009,Yes,M,z_High School,Clerical,39.1160232154553,Private,6040,10,Minivan,yes,0,0,No,0,1,Highly Urban/ Urban
183,0,0,0,50,0,11,129234.348930479,No,0,z_No,M,PhD,Doctor,37.1680983042891,Private,21200,4,Van,yes,0,0,No,0, ,Highly Urban/ Urban
184,0,0,0,53,0,12, ,No,0,z_No,z_F,<High School,Clerical,16.3826430680031,Private,11650,10,z_SUV,no,6175,1,No,2,7,Highly Urban/ Urban
185,0,0,0,55,0,14,55408.8324105396,No,162236.861835798,Yes,M,Bachelors,z_Blue Collar,44.877796861178,Commercial,27890,4,Panel Truck,no,0,0,No,0,14,z_Highly Rural/ Rural
